,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,2.306403325864771,0.007345329274367069,0.008383789774070435,0.8761347161977823,0.3809568018155107,0.9964241920043821,19
A1BG-AS1,1.5445389721495317,0.004192466731422799,0.007168814254989931,0.584820108639945,0.5586686818397528,0.9964241920043821,19
A2M,21.608352281086823,0.01302127581156051,0.004689957614327028,2.7764165227810826,0.00549617467973245,0.6306328104970853,12
A2M-AS1,0.6023641037591149,0.008662440003743483,0.012615568977698118,0.6866467948498398,0.4923053324466733,0.9964241920043821,12
A2ML1,0.6549550505786598,0.00615165932904589,0.014633006857125356,0.42039612152921374,0.6741961009578046,0.9964241920043821,12
A4GALT,1.782230102931482,-0.006847422428866745,0.00878347859062246,-0.7795797938390019,0.43563825327585515,0.9964241920043821,22
AAAS,1.8386569494958478,-1.1698071753617801e-05,0.007584886589529182,-0.001542286969691387,0.9987694335264035,0.9996509269370537,12
AACS,1.8775441055613498,0.007744584717945333,0.007714034315956309,1.0039603663579553,0.31539771760924706,0.9964241920043821,12
AADAC,0.08844362344436268,0.008233123862863827,0.03685103038782703,0.22341638147473533,0.8232114559478692,0.9964241920043821,3
AADAT,1.1639116866966757,0.0003683379182963895,0.006272238658497762,0.0587251120933285,0.953171057293034,0.9964241920043821,4
AAGAB,3.2530906695836377,0.007995125487124355,0.004919379929930161,1.6252303341079533,0.10411348922074429,0.9964241920043821,15
AAK1,18.092035185686406,-0.006415877415491844,0.0025658283260517004,-2.50050923140466,0.012401490088788394,0.7653846416066274,2
AAMDC,11.855327151345978,0.0001720168975308777,0.003104010976980858,0.05541761894740184,0.9558057595163244,0.9964241920043821,11
AAMP,2.2814763106897105,0.00459819324586415,0.006824054071487991,0.673821338121594,0.5004249071394595,0.9964241920043821,2
AANAT,0.11235542172774912,0.012524110048225474,0.043986689417562466,0.2847249978132021,0.7758548375112285,0.9964241920043821,17
AAR2,1.558800160818628,0.00010316956942939315,0.007359553758348022,0.014018454490174324,0.9888152579292886,0.9981632490100799,20
AARD,0.15171821055534582,0.006007259013069779,0.1155173754930027,0.052003077350330384,0.9585262413627363,0.9964241920043821,8
AARS2,1.1367792763584446,0.005066081354231626,0.008797155866685648,0.5758771847406503,0.5646981979189578,0.9964241920043821,6
AASDH,4.56349014509995,0.0042284806620169636,0.004215120501558924,1.003169579719749,0.31577904775133536,0.9964241920043821,4
AASDHPPT,3.1641893050955203,0.0068371441648759695,0.006064594183725077,1.127386921160216,0.25957892635655866,0.9964241920043821,11
AASS,15.8465268038652,-0.004691050014668312,0.0033998942215903378,-1.3797635187820703,0.1676594684681889,0.9964241920043821,7
AATF,5.199504262689813,0.0017960819683941844,0.0047659780161847945,0.3768548579735085,0.706281470324758,0.9964241920043821,17
AATK,8.413508951041623,0.004261742159027185,0.005746170102227051,0.7416665506256865,0.4582893908863427,0.9964241920043821,17
ABAT,4.014024363752232,-0.0015309112703952065,0.004468759514559859,-0.3425808136256333,0.731913838066493,0.9964241920043821,16
