,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,2.6786965256124757,-0.060354355791982,0.20029221779892514,-0.3013315068115736,0.7631617177967569,0.9998355954922065,19
A1BG-AS1,1.6976156058361107,0.09232366923984768,0.1632023828105957,0.5657004980558021,0.5715973966053745,0.9998355954922065,19
A2M,20.172332471546362,-0.25756268954662903,0.13818103117076908,-1.8639511325423808,0.06232856715357683,0.8319508338515216,12
A2M-AS1,0.6957244572631494,-0.06284986880885045,0.29054894531859504,-0.2163142211372814,0.8287428246097901,0.9998355954922065,12
A2ML1,0.6719416829105349,0.35181978992717805,0.3236639360505839,1.0869910136426006,0.27704078116534925,0.9998355954922065,12
A4GALT,1.8325534885926973,0.18628476475964317,0.21846411793857975,0.8527018831166422,0.3938246463460865,0.9998355954922065,22
AAAS,3.6173561959212295,-0.06896585498819413,0.17786228992219794,-0.3877486060612498,0.6982020819545105,0.9998355954922065,12
AACS,2.781806610246984,0.31008488286777125,0.17550019835790195,1.7668634324583918,0.07725110237504441,0.8622211437279165,12
AADAC,0.07587112139252107,0.015490649219920596,1.0090876572711565,0.01535114329097183,0.9877520408334615,,3
AADAT,1.9593595772086194,0.2861979535466947,0.14519500209955347,1.9711281339454236,0.04870922145407855,0.7750924848393833,4
AAGAB,4.11906843497091,0.03922252920061324,0.11604362204236213,0.3379981468201236,0.7353645843064449,0.9998355954922065,15
AAK1,22.07107473075281,0.08984128642833383,0.08708765225089564,1.0316191113925668,0.30225058386440184,0.9998355954922065,2
AAMDC,14.155970563031333,-0.04137162328961093,0.08527278259279383,-0.48516797542745055,0.6275571967161742,0.9998355954922065,11
AAMP,4.906326245115248,0.04643291965737441,0.16131841565227728,0.2878339678060118,0.7734738346104698,0.9998355954922065,2
AANAT,0.12042432437852284,0.11428436277634263,0.9015919957356144,0.12675840437458333,0.8991316185957052,,17
AAR2,2.0336344844853103,-0.04542371873541009,0.16425649751129542,-0.27654138145911966,0.7821322805182046,0.9998355954922065,20
AARD,0.11719278567541565,0.13547876445683998,3.624478783290797,0.03737882673818106,0.9701829546864085,,8
