feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,1.9677413720788735,-0.2248645978045171,0.28612307087164696,-0.7859016650404607,0.4319250990237351,,19
A1BG-AS1,0.9485751999696468,0.16763883453640274,0.3245825065567645,0.5164752602188846,0.6055225136134041,,19
A1CF,0.00254723460806546,0.5338233028980846,3.1413911284091602,0.1699321355021523,0.8650635081796985,,10
A2M,17.73792649072892,-0.3681669194469696,0.11489380998740702,-3.204410398500343,0.0013533940875327935,0.04622507975023978,12
A2M-AS1,0.809404329459035,0.3378302661769649,0.3796765773069914,0.8897843226810611,0.3735817061615182,,12
A2ML1,0.11790682942556012,-0.025958904344495194,0.702137038186792,-0.03697127901346981,0.9705079061049824,,12
A2ML1-AS1,0.6663345182385341,0.12301621279149076,0.3722243399148159,0.330489437686002,0.7410301722196824,,12
A3GALT2,0.19497388088849552,0.5628400769934194,0.7982002313816519,0.7051364493081721,0.4807253253691156,,1
A4GALT,1.0776320938418107,-0.22504522903628318,0.3571483160787966,-0.6301170099500962,0.528618031426527,,22
AAAS,1.417529433608059,-0.14443256772429985,0.3343363719889976,-0.4319977717801306,0.6657430326387292,,12
AACS,1.177301418905823,-0.12681020978300056,0.3226131323315186,-0.3930720639502358,0.6942662566151812,,12
AADAC,0.06281533937895899,0.5562287996571909,1.1199324460669862,0.496662813556811,0.6194268498898985,,3
AADACL2,0.0466947239443281,0.39203698000231874,2.9709681356267366,0.13195596926845432,0.8950191185551482,,3
AADACL2-AS1,0.22387955606472404,0.2229842779250024,0.7000583646511525,0.3185224106794555,0.7500886979109196,,3
AADACL3,0.00863945175607341,0.6647966936146845,3.136103828180256,0.21198172319455286,0.8321212930813575,,1
AADAT,0.5772180912949921,0.4357885824323467,0.2881857911726424,1.5121792808004209,0.13048826041191566,,4
AAGAB,1.5022329015948832,-0.0005319505116611567,0.2300536202185101,-0.0023122892443765853,0.9981550617558511,,15
AAK1,9.155804703011471,-0.10236209077367367,0.0941474055791207,-1.0872534420255417,0.27692481835993976,0.6172267320982113,2
AAMDC,9.294291390680414,0.0036113448613958985,0.11202211274212533,0.0322377856745945,0.9742824232179267,0.9896283165455018,11
AAMP,1.5510612806016149,-0.3956144410971479,0.2816815693309221,-1.404474002459055,0.16017774793982986,,2
AANAT,0.013630059037823033,0.5022573704347713,3.134971832105876,0.16021112703184529,0.8727147645111522,,17
AAR2,0.8561312744079257,0.027944922086868683,0.27945748067209925,0.0999970443434212,0.9203466719571056,,20
AARS1,2.831493824726508,-0.15117400147601207,0.1671154543527344,-0.9046081468738711,0.36567301779032846,,16
AARS2,1.0570319031396183,0.15908317262906094,0.3949706771306612,0.40277210902022037,0.6871158810200704,,6
AARSD1,1.5442776014965778,0.06506449533805635,0.23508413746500936,0.27677110008215994,0.781955873401049,,17
AASDH,3.113915677870501,-0.21297578229784178,0.2106471335639523,-1.011054737344349,0.31199023222182276,,4
AASDHPPT,2.2372402554198363,-0.08626705040592292,0.18918483179929982,-0.4559934831215269,0.6483946644886158,,11
AASS,10.146183051295212,0.07470267695554911,0.11676621794543218,0.6397627521896749,0.5223268517154551,0.7886192017351566,7
AATBC,0.05137828452379674,0.8853570128363645,1.503154354909041,0.5889993997921388,0.5558616762413543,,21
AATF,3.0373704263080588,-0.1671294236508867,0.17263985542091456,-0.9680813462419045,0.33300374517685916,,17
AATK,6.48098316148411,0.07353993010482188,0.2089751937392793,0.3519074622635423,0.7249076626547544,,17
ABAT,2.183071143652897,0.07960589185350009,0.1770187552431158,0.44970315006548395,0.6529244996800461,,16
ABCA1,6.60900970488105,0.04273586552998469,0.17021326727406283,0.25107247052120246,0.8017580796553978,,9
ABCA10,15.026560623126112,0.28212868191558294,0.18472970247038611,1.5272513198618438,0.12669852935751313,0.4405264689927813,17
ABCA12,0.03818572589619978,0.536167964140139,1.1959639279963352,0.44831449476775687,0.6539262411837979,,2
ABCA13,0.20777296192143144,0.956926232410677,0.6830869095416782,1.40088503972757,0.16124845311667568,,7
ABCA2,1.4091790528139045,0.07667351659559854,0.3163336937165801,0.2423817573612451,0.8084843685222094,,9
ABCA3,1.7917427911049442,0.29908772298361413,0.2181202759083711,1.3712055045687555,0.1703109027371832,,16
ABCA4,0.0718595288662202,0.42239467326332875,1.2395433608432436,0.34076635526165033,0.7332794806952811,,1
ABCA5,5.054594161412097,0.14988847217617207,0.15421736537746633,0.9719299237754532,0.3310854118442337,,17
ABCA6,24.103504450809126,0.043477496451651894,0.12657384216900214,0.3434951148405567,0.7312260153204724,0.8934975776303016,17
ABCA7,0.33074941289404375,0.4791037746159929,0.4764267285610424,1.0056190089566048,0.3145988762911366,,19
ABCA8,40.09181217249025,-0.0009702850260572976,0.09775565332278864,-0.009925615481832255,0.9920806346839247,0.9965375714350678,17
ABCA9,17.40839844482684,0.008867411446131698,0.12875928571701517,0.06886813169824764,0.9450945854921061,0.9811020418742968,17
ABCA9-AS1,1.5544343509765588,0.40778988390376186,0.3089672209534529,1.3198483730583086,0.1868856473594419,,17
ABCB1,0.2650108651436668,-0.12520943876457755,0.5065605631824157,-0.24717565453173432,0.8047722857030096,,7
ABCB10,2.143310091640634,-0.20069247262644282,0.20482698626596027,-0.9798146049263794,0.32717764149621964,,1
ABCB11,0.1267703808215105,0.5982303605720429,1.00323800786262,0.5962995379795883,0.5509751396547717,,2
ABCB4,1.1793153356871087,-0.22777564664784583,0.26195566472269394,-0.8695198360721419,0.3845628632520415,,7
ABCB5,0.1637864649494589,-0.015759099122078107,0.7596565312172416,-0.020745032096053183,0.9834490463204006,,7
ABCB6,1.4175864957398643,-0.0983869640725226,0.37909047776282084,-0.2595342532820851,0.7952230568633123,,2
ABCB7,4.938054970847843,-0.06808041240686187,0.1294717561764345,-0.5258321538026173,0.5990048318801027,,X
ABCB8,2.07351063227934,0.05442408127080169,0.2485502565559538,0.21896610377688228,0.8266764522930449,,7
ABCB9,0.6477588964408141,0.5573059786017197,0.4741118894838398,1.1754735347566423,0.23980531919695225,,12
ABCC1,4.152770537847408,-0.17203138416742406,0.17238821065732085,-0.997930099230474,0.31831325536089816,,16
ABCC10,1.7939294997125705,0.21134593965868623,0.24687768420072062,0.8560755110083349,0.39195601327130214,,6
ABCC11,0.06422480943421376,0.4437320583088152,1.0866633978182727,0.40834361330261937,0.6830214242016028,,16
ABCC12,0.05746673752449991,0.6927439270582195,2.369596870060303,0.29234674294644475,0.770021523279184,,16
ABCC2,0.20568589858903794,0.27186600300162755,0.5878980148927159,0.4624373549742973,0.6437677165401215,,10
ABCC3,0.7847498407840675,-0.029504779192265053,0.41888305884964433,-0.07043679272514008,0.9438460075980033,,17
ABCC4,3.9619103989907534,-0.18761904620908723,0.38846100460874033,-0.48298038666212584,0.6291096625155035,,13
ABCC5,5.466643158368171,-0.05173461808601935,0.12131574738428509,-0.426446023714815,0.6697828711788,,3
ABCC5-AS1,0.028935925667201646,0.4193989377691093,1.5294961667991362,0.27420724999057,0.7839253568942933,,3
ABCC6,0.48210633885098864,-0.1423894852205301,0.484028483044059,-0.29417583925028856,0.7686235417249024,,16
ABCC8,0.13791333086862795,0.004275404979105303,0.7464966646507672,0.005727292808609481,0.9954303064752522,,11
ABCC9,4.048222127624428,-0.33339863767070244,0.26429494845610907,-1.261464283060519,0.20714162054397722,,12
ABCD1,0.2830821753885895,0.43633610249724003,0.4005585006325523,1.0893192924583766,0.27601310802532075,,X
ABCD2,0.7593613808859359,0.02819536187441905,0.33856593724988077,0.08327879084188343,0.9336298641608702,,12
ABCD3,14.67382634884284,0.05502448412536281,0.09532324366736673,0.577240996092961,0.5637766664489943,0.8128171320682587,1
ABCD4,1.4345058404457351,-0.035109820625007455,0.22164427893065933,-0.1584061668291084,0.8741367547056107,,14
ABCE1,1.885543073336727,0.03549687738204708,0.2240452348523499,0.15843620778384418,0.8741130843932584,,4
ABCF1,1.8624675513144324,-0.02263025222904617,0.2188837567071933,-0.1033893632377631,0.917653953812428,,6
ABCF2,0.8483162263267989,0.2419854846881317,0.29811738459559933,0.8117120878958085,0.416956856590175,,7
ABCF3,0.9935818436842045,0.012480492158302362,0.37850921626595185,0.03297275633450678,0.9736963131196473,,3
ABCG1,0.82694899689474,-0.24294721208578227,0.5070705379256611,-0.4791191637353607,0.6318538572658257,,21
ABCG2,3.120421724318532,0.2978240236647019,0.22215893006974877,1.340589926190216,0.18005362975667816,,4
ABCG4,0.014672973922299926,0.33917235184072086,2.6474101651949464,0.128114772806935,0.8980581453797982,,11
ABCG5,0.05202932822774233,0.5568976128388157,1.2218977208325175,0.45576450740851193,0.6485593292664298,,2
ABCG8,0.06617006577289543,0.8127207247339302,1.488301662476838,0.546072577370771,0.5850160490335181,,2
ABHD1,0.33165522157217825,0.32995208511121693,0.5439725226062703,0.6065602055235383,0.5441428161793993,,2
ABHD10,1.9008857070616758,-0.21778088080185667,0.23153486135591245,-0.9405965025158206,0.34691167491564867,,3
ABHD11,0.37108195778404873,0.07577253253475014,0.4058150930549273,0.18671689109526118,0.851882611827181,,7
ABHD12,3.017728729433661,0.04238990071694385,0.1560351842240113,0.2716688606339385,0.7858766466677056,,20
ABHD12B,0.2715961439993958,0.41397976519375546,0.4584938969567261,0.9029122698067843,0.3665724581056402,,14
ABHD13,1.3166747690079896,0.2683537212933815,0.2481678275116351,1.0813396884848014,0.2795460390705886,,13
ABHD14A,1.2124999855315122,0.19109514972454988,0.2613354053380637,0.731225642684538,0.46464133984355893,,3
ABHD14B,0.4376781824880806,0.2669802773852417,0.5716157374346715,0.46706250353324846,0.6404551602266021,,3
ABHD15,0.2218989016475522,0.815700817401732,0.4659335105031976,1.7506807280738268,0.08000092088799335,,17
ABHD15-AS1,1.5208504291658433,0.3454801981513808,0.23626169908739314,1.4622776331748457,0.14366514516283718,,17
ABHD16A,0.6821342736587795,-0.14026354371631156,0.323454005573062,-0.4336429331515227,0.6645477528336675,,6
ABHD17A,1.9399029232499763,0.045877132678415616,0.23429886818601245,0.19580603625448698,0.8447619852837689,,19
ABHD17B,1.6224694562316382,-0.16426841701065842,0.22594886636884584,-0.7270158936867672,0.4672162194535697,,9
ABHD17C,0.5350660881026997,-0.12371552159640346,0.4006886757830348,-0.3087572199404833,0.7575062136503151,,15
ABHD18,5.958590773469319,-0.018198210074506404,0.14916880256134307,-0.12199742682135367,0.9029010561483543,,4
ABHD2,6.943535153513164,-0.030537350060572243,0.13558224504412003,-0.2252311875396003,0.8217994285427932,0.9309421014587757,15
ABHD3,4.431909024173698,0.005797910650147916,0.12726666696653138,0.04555718153342267,0.9636631978991045,,18
ABHD4,0.41897442931641427,0.09388291929165407,0.4169703140080419,0.22515492383432217,0.8218587546717188,,14
ABHD5,2.5793768499561147,-0.4670871360551787,0.17549343211962057,-2.661564768627927,0.007777837556571541,,3
ABHD6,3.1695339394421853,0.05039921800960988,0.18058160601612586,0.27909386299903244,0.7801727927034241,,3
ABHD8,0.9922469697609912,0.13614393913117528,0.3162379041060109,0.43051113533036955,0.6668238683216705,,19
ABI1,10.058868255480439,-0.01257508765828619,0.10319559782354734,-0.12185682261164037,0.9030124112773603,0.9674683631359275,10
ABI2,7.938300931180285,-0.18404865464087997,0.11072459210995524,-1.6622202090219502,0.0964686294303531,0.39920891871775815,2
ABI3,0.12386287503152263,0.09635428429876058,0.6988178028865558,0.1378818397309813,0.8903338031059286,,17
ABI3BP,10.303499273653967,-0.0015543676525563842,0.2247894557958778,-0.006914771189124825,0.9944828547929337,0.9965375714350678,3
ABITRAM,0.702612591063346,-0.17864634652863165,0.2966189194718828,-0.6022756297767646,0.5469906800396487,,9
ABL1,11.501636292716315,0.10386975706003254,0.09923107666527589,1.0467462467469113,0.2952166279728927,0.636349786627023,9
ABL2,15.563295004819384,0.3310460478114239,0.09298022274369738,3.5603920709456855,0.00037030148913414927,0.026574319489912353,1
ABLIM1,45.71863746569451,-0.05997907900992416,0.08320454944040225,-0.7208629746007575,0.47099382502354237,0.7563973680013844,10
ABLIM2,1.1407761158316776,0.243624166962313,0.27684421645625584,0.8800045385842765,0.3788568508804071,,4
ABLIM3,7.226697430465389,0.01957747478243669,0.13523111052792,0.14477049479228152,0.884892078513698,0.9582673529648899,5
ABO,0.4704002088929373,0.08852967753610687,0.4781664703562951,0.18514405133873343,0.8531160508548479,,9
ABR,5.012424821428284,0.10153006789902781,0.13206027405085885,0.7688161230070347,0.44200247611826604,,17
ABR-AS1,0.003505600104169296,0.5171801872172206,3.140874087131846,0.16466122896683655,0.869210635149476,,
ABRA,0.2767948931567158,0.1980559338226027,0.4643310249159203,0.426540384327035,0.6697141275429255,,8
ABRACL,0.2693958849691035,0.18819287781530922,0.5511169470471041,0.34147539614532,0.7327457240088987,,6
ABRAXAS1,1.0135948083369564,0.06675569053442032,0.26156666670870254,0.25521482295281817,0.798557183011015,,4
ABRAXAS2,1.867790505537709,-0.31509928063076403,0.23623023408635732,-1.3338651669606991,0.1822480491524704,,10
ABT1,0.4341143773391431,0.16458320918346742,0.37009665805765435,0.4447033108789335,0.6565341763333841,,6
ABTB1,2.436599395211649,0.237584292464024,0.2584183362453675,0.9193786165329939,0.357897570017246,,3
ABTB2,4.460229251331499,-0.4065599055472768,0.22148131992607323,-1.83563970849993,0.06641096030298581,,11
ABTB3,0.28076117191738914,-0.03668319821956925,0.6871076018366533,-0.053387850929773266,0.9574228849620873,,
ACAA1,1.5358157967737527,-0.06765861331269658,0.22805923574164075,-0.2966712270725328,0.7667175260380021,,3
ACAA2,2.117623733827111,-0.1757201201499889,0.2155166945928607,-0.8153434260948889,0.4148757578679759,,18
ACACA,8.896008719862094,-0.002205858150372268,0.11005296713329547,-0.020043604528177293,0.984008588159141,0.9930330986268532,17
ACACB,9.273842807581506,-0.1092397685776487,0.12310644276297113,-0.8873602885917085,0.37488495643698305,0.6966253021913287,12
ACAD10,3.6526145618318364,0.041509911700676826,0.16311385002632048,0.25448428624533526,0.7991214423454005,,12
ACAD11,3.7276217679632087,-0.06707513571401362,0.13184609615733875,-0.5087381247448495,0.610935795396474,,3
ACAD8,0.7478228210665212,0.11506249969437697,0.29624855305432135,0.38839852045886164,0.6977211389615199,,11
ACAD9,2.0748478144682116,0.11352618619035656,0.19996147576932785,0.567740289741202,0.5702113296403939,,3
ACAD9-DT,0.009805646574316963,0.643827061222499,3.134722627920188,0.2053856553329768,0.8372708267732878,,
ACADL,0.3891034624534427,0.20893707792341557,0.46950735088876944,0.4450134327564866,0.6563100467162855,,2
ACADM,6.204873917445199,-0.045042329139818225,0.13065813639726456,-0.34473420777155084,0.7302941987108342,,1
ACADS,1.3390925253193264,-0.0627294234022578,0.2878044539655646,-0.21795848722258931,0.8274614561990444,,12
ACADSB,2.8810310352005577,-0.05750760783245235,0.16462085036278296,-0.34933368225057787,0.726838814532823,,10
ACADVL,5.742335446628769,-0.28788480778267306,0.17538980365402992,-1.641399909144937,0.10071442874059437,,17
ACAN,0.08817482485827256,0.43018698424725826,0.9655483093635819,0.4455364688389395,0.6559321109690535,,15
ACAP1,0.7168633713378118,0.2726791412502587,0.32319244285718834,0.8437051895138207,0.39883416690679574,,17
ACAP2,11.383925809065266,0.08166995372942423,0.08402289176931016,0.9719964644117932,0.3310523074756244,0.6614094029165644,3
ACAP3,1.9543348744376947,0.2015791199957349,0.2625945622314411,0.7676439233272109,0.4426987598727996,,1
ACAT1,7.998615634041153,-0.05074884133898374,0.11281475040685009,-0.44984225162015945,0.6528241897010965,0.8561990066682336,11
ACAT2,0.4415675792368866,0.13406532538160434,0.41457396251866657,0.32338095853177934,0.7464067483988213,,6
ACBD3,4.1813402389930605,-0.12556323041989884,0.14513099750894778,-0.8651716902321812,0.38694456112736664,,1
ACBD3-AS1,0.0379503236796575,0.5272320619827887,1.1833482153792267,0.4455426180820554,0.6559276681686077,,1
ACBD4,0.8336925755903531,-0.09205802777989937,0.2817652242572207,-0.32671891296230543,0.7438804941408852,,17
ACBD5,2.6121390309982626,-0.13258341912131097,0.18536589878955448,-0.7152524816435231,0.4744530450868185,,10
ACBD6,9.8073003022614,0.38490651448687696,0.09622117051616817,4.000226898322762,6.328177951074819e-05,0.013247625596538078,1
ACBD7,0.002960005990394292,0.5265897192577484,3.1411659114026813,0.16764148539438364,0.8668653324017506,,10
ACCS,0.6132929806647068,-0.06383046633140942,0.3626380801940324,-0.17601699826244507,0.860280588255518,,11
ACCSL,0.004786224051807343,0.4892104016661796,3.139974383979425,0.15580076199417336,0.8761900699766112,,11
ACD,0.41033964794421923,0.3028560009984493,0.3880298862206236,0.7804965848075252,0.4350986369711993,,16
ACE,0.5599856788532563,-0.40353248299829486,0.5673322518794585,-0.7112807030826687,0.4769103070406233,,17
ACE2,0.1974780948600369,0.27368462933653476,0.6338241947907003,0.43179896189811773,0.6658875340895347,,X
ACE2-DT,0.014538396112269498,0.6394833367096129,3.1350376883805993,0.20397947338232397,0.8383695395454964,,
ACER1,0.31458271657235387,0.1561176794590028,1.2954223708676484,0.12051488608648796,0.9040752881966909,,19
ACER2,1.2061391782558721,-0.37939230267358337,0.3353457214893711,-1.131346781430782,0.2579091614794523,,9
ACER3,4.8951069506028775,0.13392182176360493,0.14810898833069355,0.9042113059646865,0.3658833662815656,,11
ACHE,0.3088717381995189,-0.34259499702174034,0.5649375980631168,-0.6064298042763023,0.5442293821479574,,7
ACIN1,5.587162639609214,0.17198599524650565,0.11240073823000124,1.530114463257149,0.12598839882479443,,14
ACKR1,0.6766719014618144,0.4757378278051656,0.39671577594631896,1.199190596013856,0.23045384305407368,,1
ACKR2,0.025790283685486106,0.5616087305151487,1.7734241644451996,0.31668043199966384,0.7514860981693937,,3
ACKR3,2.2593310184184707,0.05759111427567867,0.20821154692373303,0.27659904134314917,0.7820880008866393,,2
ACKR4,0.44449474267743305,0.43844729826688705,0.44642174622205516,0.9821369634820578,0.3260323774913275,,3
ACLY,2.148915542795017,-0.046650263933467065,0.20600419833417552,-0.22645297673881395,0.8208491283896097,,17
ACMSD,0.29411512986973887,0.4974786293280371,0.8766946140847347,0.56744802732409,0.5704098276688709,,2
ACO1,4.429945911959579,-0.14710824669238665,0.13218173961805196,-1.1129241233884941,0.26574101849068243,,9
ACO2,9.601613015804018,-0.31447738605863806,0.14575261292038577,-2.157610623628508,0.03095811802963348,0.2314927851427683,22
ACOD1,0.0028747172894632326,0.5417582478430342,3.14178362556297,0.17243652409257101,0.8630943601334801,,13
ACOT1,0.03366656438717552,0.4740277411501385,1.0432701743167705,0.4543671934842531,0.6495645607902096,,14
ACOT11,4.105457562158903,-0.1794598687199735,0.19652588217617617,-0.9131614967594762,0.361157610851614,,1
ACOT12,0.09566144387561738,0.7206769565482806,0.730882515001697,0.9860366635622789,0.3241151217796724,,5
ACOT13,2.044850851131157,-0.09560753759616246,0.20237620681434995,-0.47242479291979295,0.6366236111718659,,6
ACOT2,0.8060637984782549,0.38102679795845773,0.40418768093684626,0.942697701907428,0.34583554917471815,,14
ACOT4,0.0470527119752184,0.6294774089798741,0.9587778968041929,0.6565414274547358,0.5114758214594695,,14
ACOT6,0.08083166905347385,1.0881337918328984,1.0026032587338607,1.085308453123372,0.2777850632266111,,14
ACOT7,1.1058652615403275,-0.3724634358073957,0.2903766096827575,-1.282690903424762,0.19960038810324143,,1
ACOT8,0.9423485531633439,-0.22413008406515836,0.2607985682021369,-0.8593992122358665,0.390120304194973,,20
ACOT9,2.672767440201611,-0.27575241598609335,0.17206839549502218,-1.602574459956946,0.10902863618569814,,X
ACOX1,3.2340041941175914,0.07493651253956199,0.15268481788590055,0.4907921663538356,0.6235734511615898,,17
ACOX2,0.8755298717061062,0.2017697362686404,0.270980933225041,0.7445901594156703,0.45651951866605667,,3
ACOX3,1.9416982782346088,0.2615111479580228,0.2119938160593592,1.2335791336705715,0.2173597723830044,,4
ACOXL,0.08383577293962476,-0.0010566579503659581,0.6992983091526895,-0.0015110260335768097,0.9987943761156179,,2
ACP1,1.9462051984450632,-0.20625754236344435,0.231135644560534,-0.8923657913326556,0.3721969006659981,,2
ACP2,1.0604867219210818,0.028744964879581787,0.3406413868382137,0.08438482812199828,0.9327504696636764,,11
ACP3,0.09357791827663543,-0.0616822494899569,0.6777961145647053,-0.09100413555715131,0.9274893049951125,,3
ACP4,0.012702161697353463,0.3719249676273818,3.1365139102008115,0.11857909075989712,0.905608831612509,,19
ACP5,0.02462631598178633,0.7587784872044971,2.0724191999619475,0.36613175906613366,0.7142667600878434,,19
ACP6,2.6796502913208533,0.011701545768006947,0.21888072548744103,0.05346083234121206,0.9573647372613552,,1
ACP7,0.044725574926755746,0.6249310300603211,1.3495479847949454,0.4630669209996821,0.6433163997106668,,19
ACR,0.01934436008496092,0.765046246242514,2.554390692643957,0.29950244042372487,0.7645567102531001,,22
ACRBP,0.01930515390393852,0.5902346903054704,2.5705713271520545,0.2296122593724694,0.8183930797786743,,12
ACRV1,0.009976777626931325,0.5319381927646905,2.7530241229427928,0.19321959017056678,0.8467869970822818,,11
ACSBG1,0.162511068810819,0.23698924710659214,0.7179272955853364,0.33010201529302685,0.7413228805228675,,15
ACSBG2,0.599326941304047,0.10851942563032137,0.5452643121419855,0.19902169134088346,0.8422457767642519,,19
ACSF2,2.367391937322507,-0.15045827323756827,0.2243227197490874,-0.6707224012166979,0.5023973894653793,,17
ACSF3,1.5682950443347836,-0.05393671867730962,0.2216298899322583,-0.24336391943250754,0.8077234918089768,,16
ACSL1,2.2941559140889414,-0.11763650069359866,0.21200023451416852,-0.5548885403979905,0.5789709006756107,,4
ACSL3,5.48190192948512,-0.14482349679072995,0.15296055945332698,-0.9468028706767387,0.34373923871548984,,2
ACSL4,5.6769326876323465,0.1355442330708059,0.1411163400910178,0.9605140905963265,0.3367965428024038,,X
ACSL5,0.3101476155622518,0.05997726816631865,0.4086055245568212,0.14678526001666464,0.8833015194581442,,10
ACSL6,0.384742680954874,0.656470778646121,0.7810219050368721,0.8405279985266597,0.4006124099369258,,5
ACSM1,0.4408195848879565,0.6542309895030662,0.5890749957611353,1.110607298240089,0.2667374199611884,,16
ACSM2A,0.013561890296105378,0.7215023564837068,3.132271413785086,0.2303447757778538,0.817823869853014,,16
ACSM2B,0.005000094026972691,0.5045273143325557,3.1404836994666563,0.16065274098325644,0.8723669130600311,,16
ACSM3,6.826699985455477,-0.22646333285466233,0.3309048594109246,-0.6843759661245572,0.49373778844030936,0.7698062769118674,16
ACSM4,0.012664301666224075,0.36444369858204534,3.1362992743260456,0.11620182473190799,0.9074925906244591,,12
ACSM5,0.4502925399498917,0.25267974684545247,0.4152749414518031,0.6084637468422316,0.5428799433426648,,16
ACSM6,0.050373324942829305,0.5841789039816161,1.3485721080940816,0.43318329103456554,0.6648816167111319,,10
ACSS1,2.955861608695601,0.29016785389084787,0.18430053432611487,1.574427632300857,0.11538861977430324,,20
ACSS2,3.3394976006707764,-0.08602320546626413,0.1633735907412898,-0.5265429074304069,0.5985110480511835,,20
