,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,2.306403325864771,0.004647395396343516,0.2711900908489615,0.017137039859365173,0.986327289710968,0.998338252583992,19
A1BG-AS1,1.5445389721495317,0.034474179836459964,0.22200389074474508,0.1552863768324564,0.8765955550499238,0.9898812579407602,19
A2M,21.608352281086823,0.2852784705468668,0.15567828060203656,1.8324872900936626,0.06687885363724068,0.7195815993836286,12
A2M-AS1,0.6023641037591149,0.12878718840266437,0.43973575571079526,0.29287404249056553,0.7696184304028423,,12
A2ML1,0.6549550505786598,-0.2340502816782137,0.463163933414072,-0.5053292469320382,0.6133276040973514,,12
A4GALT,1.782230102931482,-0.3065389647790546,0.28978579539328053,-1.057812251849811,0.29014104600853685,0.8966215284190333,22
AAAS,1.8386569494958478,-0.15557172262248947,0.23964550497204232,-0.6491743821384794,0.5162256681736482,0.9493928640417241,12
AACS,1.8775441055613498,0.40011879346842044,0.26288845142811945,1.5220097775113692,0.12800663079978417,0.8026862672862917,12
AADAC,0.08844362344436268,-0.1572393576897213,1.2124145511769207,-0.1296910842393678,0.8968108367369413,,3
AADAT,1.1639116866966757,-0.035513324044593626,0.19876849087215528,-0.17866676900734343,0.8581993637666849,,4
AAGAB,3.2530906695836377,0.3371338855279328,0.1648637268509347,2.0449245687182604,0.04086229531184452,0.6551629636281994,15
AAK1,18.092035185686406,-0.25258223002853813,0.07852788543949123,-3.216465445553892,0.0012978016114691268,0.19642227389585232,2
AAMDC,11.855327151345978,-0.08354644050132354,0.09761735547326261,-0.855856421189436,0.39207720230117704,0.9205100651791573,11
AAMP,2.2814763106897105,0.16822701529455772,0.22367926613737163,0.7520903398853331,0.451996732852892,0.9401431840830087,2
AANAT,0.11235542172774912,0.017080137170592303,1.4534618692657142,0.011751348646814623,0.9906239961418758,,17
AAR2,1.558800160818628,-0.26620021148665335,0.2282103526777757,-1.166468603913504,0.2434250352254168,0.8828828336836191,20
AARD,0.15171821055534582,-0.21350211518339696,3.7967530831587917,-0.05623281538386721,0.9551563396163357,,8
AARS2,1.1367792763584446,0.1598516962793104,0.29149591178578094,0.5483840075149482,0.5834282551908841,,6
AASDH,4.56349014509995,0.15410959668669594,0.13383612336023493,1.1514798308367964,0.2495348881473115,0.8855116022016585,4
AASDHPPT,3.1641893050955203,0.24417075529901522,0.207224967225411,1.1782883045816388,0.23868168874741902,0.8810340240113537,11
AASS,15.8465268038652,-0.09973750980776949,0.10704675022473614,-0.9317191750181909,0.3514816741901672,0.9144603041746813,7
AATF,5.199504262689813,0.0860440250985418,0.15751309847233205,0.5462658403209296,0.5848832137432641,0.9591643211212859,17
AATK,8.413508951041623,0.33633426283054096,0.1942982164304828,1.7310208452215858,0.08344804665607904,0.7525240433801924,17
ABAT,4.014024363752232,-0.10602198636004415,0.13622824465631267,-0.778267286842936,0.43641145656639346,0.9352435862493197,16
ABCA1,17.98618775948181,-0.06675878136628843,0.16054712875124805,-0.41582046272359435,0.6775413841291651,0.970394509593325,9
ABCA10,19.11096700220038,-0.010573648512449886,0.16783260711965747,-0.06300115748610952,0.9497655826133398,0.9938642571477165,17
ABCA12,0.5770093231253667,-0.6165751405063142,0.6227461513640115,-0.9900906479402872,0.32212981404587737,,2
ABCA13,0.4952678070394356,0.5558420679496391,0.540907846290038,1.0276095489500319,0.3041335306182177,,7
ABCA2,2.1723450142100664,0.23298215845111167,0.25536681983118786,0.9123431094342104,0.3615881274962417,0.9144603041746813,9
ABCA3,3.068079302097568,0.1171570880645884,0.1638638435012605,0.7149660691541584,0.47463000992350624,0.9449112336245343,16
ABCA4,0.09763336352707364,0.03953649594431736,0.7702828000740255,0.051327247525866905,0.9590647563292949,,1
ABCA5,6.804701503899686,0.39668905682378763,0.1419774999957606,2.794027622937667,0.005205603187657281,0.3781766603769261,17
ABCA6,51.466176258251714,0.1626799690600116,0.12870380982298485,1.2639872066239257,0.20623461886255434,0.8700237233786883,17
ABCA7,0.7861232320468053,0.3258463445442203,0.3662657691413185,0.8896445477505082,0.37365677805612485,,19
ABCA8,75.96835107490742,0.04957724762418405,0.1011793787662088,0.4899935958169919,0.6241384306002339,0.9641046466201569,17
ABCA9,28.39376649902692,0.15689855585392085,0.1397096626172652,1.1230329593146657,0.26142349665985964,0.887469782556899,17
ABCA9-AS1,10.638817426194985,-0.16758806449918393,0.21062153499865308,-0.795683425724989,0.42621606277859203,0.9337531768716522,17
ABCB1,1.3991271328800734,1.2280480530704967,0.45243194793484665,2.7143265604385305,0.006641066506255839,0.395969460566026,7
ABCB10,3.7770177652099433,0.08159085418686322,0.13130511559778196,0.6213836667018743,0.5343472160910403,0.9522250159175908,1
ABCB11,0.2008544600885346,0.07056884366884711,1.0142328708750235,0.06957854127520462,0.9445291171205538,,2
ABCB4,2.302492471788695,-0.010645387141960389,0.21392893849475705,-0.04976132362859961,0.9603125877515951,0.9946551257910167,7
ABCB5,0.7262062861886864,0.3554450039561827,0.5530243035685963,0.6427294454557255,0.5203996711153283,,7
ABCB7,8.479763477122258,-0.11644180338261323,0.09736438823028871,-1.1959383250804405,0.23172062783420488,0.8778122360826506,X
ABCB8,3.2213284838213085,-0.08269766930796833,0.15859269948721136,-0.5214468861136758,0.6020554967678009,0.9631696411373812,7
ABCB9,0.9866303870980703,0.47588659722530063,0.3427344213200314,1.3884995717454862,0.1649849750823481,,12
ABCC1,7.743006777681949,-0.12757985153832713,0.1326857465929792,-0.961518888156731,0.3362913330645769,0.909963011749719,16
ABCC10,2.3359471082283148,-0.09586931046736853,0.1820419914632871,-0.5266329471390273,0.59844850769768,0.9621848167025384,6
ABCC11,0.1280522996297494,0.4635221455966101,0.6747886124847046,0.6869145937271085,0.49213654992611977,,16
ABCC12,0.054556237738272305,-0.025266266521211885,1.845661621443953,-0.013689544295473201,0.9890776651108022,,16
ABCC2,0.5238178741517222,0.04145490382729983,0.38617432921587747,0.10734764247917135,0.9145131896413248,,10
ABCC3,1.2720272157088879,-0.5054553130520363,0.26875774802178853,-1.8807097349656998,0.06001141469071894,,17
ABCC4,6.275294405220974,0.12311197425098329,0.29209174114354197,0.4214839275119479,0.6734017451818105,0.970394509593325,13
ABCC5,8.917652218465244,-0.027161068676186905,0.11044285378316528,-0.24592871105551828,0.8057374180257274,0.9816290522932534,3
ABCC6,0.4631125809350629,-0.13563392158409554,0.48738361866573515,-0.27828986529216543,0.7807898552938798,,16
ABCC8,0.3999217368036067,0.17308923898856704,0.48137267113718085,0.35957429527452406,0.7191655089731093,,11
ABCC9,5.534961715117073,0.24184509230979254,0.22804182865487313,1.0605295253784768,0.28890376504872795,0.8966215284190333,12
