feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,1.8765631486689092,0.6620895456324497,0.5553237525072019,1.1922586466781162,0.23315984401761547,0.5927635001489199,19
A1BG-AS1,2.814760746295984,-0.9992526714853962,0.445173017900475,-2.244638896126436,0.024791323630803636,0.21968890024557233,19
A1CF,0.1079725817264296,1.1614475920229992,2.060624722970264,0.5636385796385301,0.57300012543376,,10
A2M,25.011185674579313,0.4263999541928485,0.4961511845653981,0.8594153706724535,0.39011139253522287,0.7239853323617177,12
A2M-AS1,0.16311851303965574,0.8644684480032645,1.385205407440788,0.6240723890909422,0.532580045914149,,12
A2ML1,0.5652424319173173,-0.014884599546299358,0.7865014940683167,-0.01892507472465966,0.9849008763836601,,12
A2ML1-AS1,6.723642622559943,0.3541138347593066,0.3716352979090932,0.9528530706088295,0.3406645205936457,0.686234027666351,12
A3GALT2,0.5091540573526919,-0.674294617854806,0.809056281080686,-0.8334335121335764,0.4046002810980833,,1
A4GALT,1.8215222972410399,-1.5913616309764016,0.4749692319092792,-3.35045203787086,0.0008067977986843632,0.03484353099776872,22
AAAS,2.099376638927666,-0.01853539233627737,0.4356346900089761,-0.04254801732133741,0.9660618340966958,0.9888992734907976,12
AACS,1.9949042348700508,-0.03151979760082404,0.4652082975747495,-0.06775416037320238,0.9459813345836516,0.9848992997561509,12
AADAC,0.02415531407702769,0.20002886439285092,5.009325072320459,0.039931300425706244,0.9681478968652846,,3
AADACL2,0.019015986789836074,0.774521755138857,5.086090372576689,0.15228234231049906,0.8789642512836938,,3
AADACL2-AS1,0.15644428479059258,0.23789119650521195,1.2421123008610286,0.19152148830689986,0.8481170468966452,,3
AADACL3,0.006797977357008623,0.6835207994654485,5.087389217507639,0.13435590835338362,0.8931211454777704,,1
AADACL4,0.0034490212800307447,0.713867966598833,5.087770426454953,0.140310569613543,0.8884146135936698,,1
AADAT,2.342858380321743,0.1452556786861575,0.44815405341331416,0.3241199707552218,0.7458472079013705,0.9154129171374108,4
AAGAB,4.616378925079244,-0.6970021755922488,0.3203800954137063,-2.1755476871689265,0.02958909863886302,0.23756048599198434,15
AAK1,27.93462061402352,-0.2270518552973799,0.15286715970736495,-1.4852886370887468,0.13746738060114283,0.4728955999145564,2
AAMDC,18.548767421777164,0.30669550063778894,0.15968585564165402,1.9206178243239942,0.054779906360594856,0.3161724910011645,11
AAMP,3.2002869303916732,-0.27825831181756894,0.375954443371995,-0.7401383777295621,0.45921603398815247,0.7726162961700994,2
AANAT,0.06576125929317163,1.065494410810928,2.6793690574844766,0.3976661624252938,0.6908762832068824,,17
AAR2,1.9531863750319576,0.0778640595391583,0.4807286318403704,0.16197092160097018,0.8713287526719017,0.957278485181111,20
AARD,0.0,,,,,,8
