,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,0.46385679250625245,2.1432576389064457,2.2122157400399605,0.9688284917761821,0.33263076839450945,0.9969962349318728,19
A1BG-AS1,0.40414856120605525,0.03145952273348919,2.5181238433647324,0.012493238891480723,0.990032096874818,0.9987091371943263,19
A2M,4.2149338373867815,-0.16623870669110444,0.883775185988742,-0.18810067235042516,0.8507977340458475,0.9969962349318728,12
A2M-AS1,0.0,,,,,,12
A2ML1,0.6387951766225534,2.5594608217653243,3.1084895093872498,0.8233776610910452,0.41029326245860054,0.9969962349318728,12
A2ML1-AS1,0.5042211000165983,-1.6688575916310324,2.5070300804061434,-0.6656711479746882,0.5056213190175488,0.9969962349318728,12
A3GALT2,0.17900978090278064,-0.11079256675356303,4.759555045006922,-0.023277925290472585,0.9814285800088829,0.9969962349318728,1
A4GALT,0.7413395865090671,0.777200479380618,2.015070325763088,0.3856939727829595,0.6997233271370777,0.9969962349318728,22
AAAS,0.3354004261606436,1.4311569939850943,2.1959449068267634,0.6517271856574849,0.5145771817399118,0.9969962349318728,12
AACS,0.5393602083328256,2.1922616633253686,1.9991974001687212,1.0965708854665146,0.27282902049009117,0.9969962349318728,12
AADACL2-AS1,0.17218582978423896,-0.4718946569535836,3.13493888800169,-0.1505275457711982,0.8803484199405023,0.9969962349318728,3
AADAT,0.9301193424927502,2.257811646963516,2.0593941195934438,1.0963475254601789,0.27292671858906736,0.9969962349318728,4
AAGAB,2.5676710953593167,-0.6046085693149377,1.7599967004701946,-0.3435282402253439,0.7312010993642228,0.9969962349318728,15
AAK1,7.951769457849134,-0.0529425072084557,0.7349843233817952,-0.07203215840694083,0.9425763156071932,0.9969962349318728,2
AAMDC,3.242804765939681,-1.196340219227506,0.9502842199291078,-1.2589288490097776,0.20805603254501992,0.9969962349318728,11
AAMP,0.0871022437303357,-0.6231590178223918,4.752029776258944,-0.13113533524888316,0.8956682490236589,0.9969962349318728,2
AAR2,0.5008309751637211,-0.7765002380683745,2.550189196958337,-0.30448730588088224,0.7607566623671473,0.9969962349318728,20
AARS,1.2155206791203226,0.1316899039963608,1.5861827173420036,0.08302316155419728,0.9338331229320699,0.9969962349318728,
AARS2,0.21652423004236493,0.25606639056601394,2.774110344097101,0.09230576970771388,0.9264551043796047,0.9969962349318728,6
AARSD1,0.4266990265135927,-1.0269802647453052,2.51633584163087,-0.4081252779357567,0.6831817027493822,0.9969962349318728,17
AASDH,0.6188135217686719,0.8675054582990204,1.9297971775217977,0.44953193444559364,0.6530479766149175,0.9969962349318728,4
AASDHPPT,0.527761380429063,3.317425902925456,2.428310024220667,1.3661459491730832,0.1718931585669099,0.9969962349318728,11
AASS,5.943519493896963,-0.3672062420141538,0.8931245555238558,-0.4111478513753008,0.6809641241628019,0.9969962349318728,7
AATF,1.0911200286068543,-0.7311358529689385,2.035886606247644,-0.35912405471172076,0.719502287239022,0.9969962349318728,17
AATK,1.5241684886915843,-0.4212550314257694,1.3323674734500313,-0.3161703057302742,0.7518732451488019,0.9969962349318728,17
ABALON,0.0,,,,,,20
ABAT,1.7418448434382297,-0.49469139843555326,1.548437046462272,-0.3194778887303033,0.7493641558193562,0.9969962349318728,16
ABCA1,3.3933558274516344,-0.5516978723490716,1.4268021911638273,-0.3866673851257949,0.6990024644777222,0.9969962349318728,9
ABCA10,4.565017706932516,0.13802826773281948,0.9381773677707272,0.14712385149601154,0.8830342639588662,0.9969962349318728,17
ABCA12,0.09668241395766584,-0.728486367832779,4.743374817628775,-0.1535797603692114,0.8779410964721199,0.9969962349318728,2
ABCA13,0.1742044874606714,-1.4688333089448122,4.700783971378692,-0.3124656052879662,0.7546866984077224,0.9969962349318728,7
ABCA2,0.8682897017451257,1.3131919446113243,2.1244893871845103,0.6181212071629307,0.536495443848545,0.9969962349318728,9
ABCA3,2.5827296223706093,-0.7941587992876261,1.0673217658981642,-0.7440669015302351,0.4568360020032033,0.9969962349318728,16
ABCA4,0.0,,,,,,1
ABCA5,2.1646355261387535,-0.5566227615860944,1.0703212784296179,-0.5200520374618496,0.6030273062529838,0.9969962349318728,17
ABCA6,10.414246331037678,-0.6028069808641895,1.1112955840524417,-0.5424362244525425,0.5875180306561943,0.9969962349318728,17
ABCA7,0.1742044874606714,-1.4688333089448122,4.700783971378692,-0.3124656052879662,0.7546866984077224,0.9969962349318728,19
ABCA8,18.064983628843787,-0.29969474823543835,0.9705232489413391,-0.3087970829780221,0.7574758882244005,0.9969962349318728,17
ABCA9,9.589850111299489,-0.4140286871686587,0.8836174694752541,-0.46856100232438164,0.6393834577783015,0.9969962349318728,17
ABCA9-AS1,3.072157628552175,-1.7738482554802089,1.2225909063644682,-1.450892728095758,0.14680973314022955,0.9969962349318728,17
ABCB1,2.6111624937985476,-1.3638547289690397,1.6604328637314563,-0.8213850488986814,0.4114269770433746,0.9969962349318728,7
ABCB10,1.9260100147506485,0.9075292304650991,1.2089672324221648,0.7506648700865657,0.4528543700643203,0.9969962349318728,1
ABCB11,0.1284563663456088,1.9449250268395208,4.792358152488461,0.4058388302697299,0.6848610255966106,0.9969962349318728,2
ABCB4,0.0,,,,,,7
ABCB6,0.9486366646942999,-1.0797396431907613,1.9071667492586954,-0.5661485256129019,0.5712928183327628,0.9969962349318728,2
ABCB7,2.583716039014745,-0.6532912391144435,1.602067570480879,-0.4077800781638384,0.6834351407571773,0.9969962349318728,X
ABCB8,0.4950218080746996,1.7311322794528634,2.3856347223338843,0.7256485090723712,0.4680542751240786,0.9969962349318728,7
ABCB9,0.2476892456108121,-0.3674870222244725,3.228554083218887,-0.11382402547771038,0.9093772927884166,0.9969962349318728,12
ABCC1,3.066427695256205,-1.1717690028052643,1.2716258178963546,-0.9214731144289889,0.35680347167823645,0.9969962349318728,16
ABCC10,1.3630716369858809,-1.9776112683339884,1.797174118888789,-1.1004004829297036,0.2711576681702057,0.9969962349318728,6
ABCC2,0.17218582978423896,-0.4718946569535836,3.13493888800169,-0.1505275457711982,0.8803484199405023,0.9969962349318728,10
ABCC3,0.7091465021552006,-0.5912419646860814,1.784892594240427,-0.33124792303689754,0.7404572241581634,0.9969962349318728,17
ABCC4,4.605602761157551,-1.0850909210532167,1.1690918963875905,-0.9281485265667047,0.35333053063579256,0.9969962349318728,13
ABCC5,1.9676774837610733,-0.8490313438606604,1.2387469820030514,-0.6853952874926713,0.4930945169735561,0.9969962349318728,3
ABCC6,0.26611202463311634,-1.3865466942202402,3.2175619463155702,-0.4309308468195848,0.6665186534883816,0.9969962349318728,16
ABCC9,4.28952280702231,-0.10129510631844824,0.9844486616566615,-0.10289526540468409,0.9180460954163436,0.9969962349318728,12
ABCD2,0.07550341582657312,0.7953612948274624,4.837442478076563,0.16441772660492898,0.8694023096583925,0.9969962349318728,12
ABCD3,6.953864120109097,0.6842938572572854,0.9924170430494963,0.6895224765130888,0.4904945338177663,0.9969962349318728,1
ABCD4,1.3693141465391456,0.8879036811865434,1.3670622327309034,0.6494976307061223,0.5160167773779585,0.9969962349318728,14
ABCE1,0.8142274240173243,-0.27752667571624007,2.910969482580301,-0.09533822919718098,0.9240461784236539,0.9969962349318728,4
ABCF1,1.105505492276294,-0.4752195025823878,1.5257810403737277,-0.31145982943003847,0.7554510766601064,0.9969962349318728,6
ABCF2,0.18378465768800156,-1.5377888137644036,2.6791725078778263,-0.5739790212249105,0.5659819976663514,0.9969962349318728,7
ABCF3,0.1284563663456088,1.9449250268395208,4.792358152488461,0.4058388302697299,0.6848610255966106,0.9969962349318728,3
ABCG1,0.6422576365895372,-0.46324768919078163,1.8147951335464942,-0.25526169903569085,0.7985209799762849,0.9969962349318728,21
ABCG2,0.7303255002862933,-1.1696264437113535,1.7661384455968203,-0.6622507123534751,0.5078105585410397,0.9969962349318728,4
ABCG4,0.0,,,,,,11
ABCG5,0.0,,,,,,2
ABHD10,0.2476892456108121,-0.3674870222244725,3.228554083218887,-0.11382402547771038,0.9093772927884166,0.9969962349318728,3
ABHD11,0.0,,,,,,7
ABHD12,2.9175739405515833,-0.2815617819269226,0.9768150791177341,-0.28824471278763536,0.7731594246159048,0.9969962349318728,20
ABHD12B,0.5940795628557225,-2.1609881152424824,2.3482639553268947,-0.9202492378850392,0.3574425292712261,0.9969962349318728,14
ABHD13,0.6495726901270947,-0.16688250130002685,3.6375636772140245,-0.04587754775136763,0.9634078496294041,0.9969962349318728,13
ABHD14A,0.17900978090278064,-0.11079256675356303,4.759555045006922,-0.023277925290472585,0.9814285800088829,0.9969962349318728,3
ABHD14B,0.0,,,,,,3
ABHD15,0.0871022437303357,-0.6231590178223918,4.752029776258944,-0.13113533524888316,0.8956682490236589,0.9969962349318728,17
ABHD15-AS1,3.592651117515395,-1.8385649857721396,1.0578321402952164,-1.7380498433891776,0.08220203155556662,0.9969962349318728,17
ABHD16A,0.09668241395766584,-0.728486367832779,4.743374817628775,-0.1535797603692114,0.8779410964721199,0.9969962349318728,6
ABHD16B,0.09668241395766584,-0.728486367832779,4.743374817628775,-0.1535797603692114,0.8779410964721199,0.9969962349318728,20
ABHD17A,1.430847565885476,0.9029402958462037,1.5769251058510063,0.5725955484480166,0.5669185744985625,0.9969962349318728,19
ABHD17B,1.3369937061507058,0.3231272125502516,1.3634504143972497,0.23699227279423934,0.8126627849374217,0.9969962349318728,9
ABHD17C,0.7258974203528891,1.3140628507855696,2.3127361893418867,0.5681853627929349,0.5699091093512727,0.9969962349318728,15
ABHD18,2.652137028531824,-0.772433221410204,1.329520963429069,-0.5809861165467918,0.5612498105967542,0.9969962349318728,4
ABHD2,2.741883998659077,-0.10518994892594226,1.673324919607467,-0.0628628353605216,0.9498757293709745,0.9969962349318728,15
ABHD3,2.4652777222686013,-0.39369274771021523,0.9946436974660569,-0.3958128410336108,0.6922431030879904,0.9969962349318728,18
ABHD4,0.0,,,,,,14
ABHD5,0.8669468682700002,-1.453104209230811,2.0250336400452493,-0.7175704050024283,0.47302221101500663,0.9969962349318728,3
ABHD6,1.133439771188548,-0.08582582991658037,1.4455896101054908,-0.05937081265430325,0.9526567601655199,0.9969962349318728,3
ABHD8,0.4853924737842697,-0.9603979409579337,2.5706845731371715,-0.37359618173065023,0.7087047751147442,0.9969962349318728,19
ABI1,3.960478747539135,-0.8967049969049022,1.0019345462056408,-0.8949736290666429,0.37080118509427196,0.9969962349318728,10
ABI2,3.5697684305153743,-0.8401606805240285,0.9167447064750633,-0.9164609019172798,0.3594252051783349,0.9969962349318728,2
ABI3,0.0,,,,,,17
ABI3BP,3.882672638502862,1.024736923335917,0.8272877636040625,1.2386704704438891,0.21546755875027812,0.9969962349318728,3
ABITRAM,0.5271524436095671,0.9961922906243112,2.3950175879922893,0.41594362213406777,0.6774512580791133,0.9969962349318728,9
