,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,0.46385679250625245,2.0977623265362095,2.190292836737572,0.9577542743831523,0.33818668149362086,0.9998262898382668,19
A1BG-AS1,0.40414856120605525,-0.017315742184383365,2.5031239550759508,-0.006917652699247954,0.9944805557354819,0.9998262898382668,19
A2M,4.2149338373867815,-0.17949176370450198,0.8734638257024884,-0.2054942155848809,0.8371860169650508,0.9998262898382668,12
A2M-AS1,0.0,,,,,,12
A2ML1,0.6387951766225534,2.625509787750921,3.168689984321507,0.8285789397958747,0.40734270915619974,0.9998262898382668,12
A2ML1-AS1,0.5042211000165983,-1.6440807074957577,2.514100528682812,-0.6539439011045134,0.513147948680289,0.9998262898382668,12
A3GALT2,0.17900978090278064,-0.1108372736437427,4.722812013355352,-0.02346849151105586,0.9812765716911644,0.9998262898382668,1
A4GALT,0.7413395865090671,0.7577603032100325,2.013838098631672,0.37627667473611826,0.7067112181506934,0.9998262898382668,22
AAAS,0.3354004261606436,1.412616888489342,2.175107608192095,0.6494468977851998,0.5160495592789487,0.9998262898382668,12
AACS,0.5393602083328256,2.1747088188867387,2.001247806268917,1.0866764286134152,0.27717983473917496,0.9998262898382668,12
AADACL2-AS1,0.17218582978423896,-0.4121416330496005,3.202092428720119,-0.12871009885693216,0.897587044150728,0.9998262898382668,3
AADAT,0.9301193424927502,2.151255714592092,2.0673493821871043,1.0405864306865351,0.2980675315593877,0.9998262898382668,4
AAGAB,2.5676710953593167,-0.7319166748830097,1.7111241737124663,-0.4277402459314443,0.6688402452647895,0.9998262898382668,15
AAK1,7.951769457849134,-0.054980292917445404,0.7239643647777179,-0.07594336902801323,0.9394641529686663,0.9998262898382668,2
AAMDC,3.242804765939681,-1.2057299248884095,0.9327024663810167,-1.2927272826529213,0.1961053982578167,0.9998262898382668,11
AAMP,0.0871022437303357,-0.5635906643372781,4.705322822943305,-0.11977725770253042,0.9046595979482496,0.9998262898382668,2
AAR2,0.5008309751637211,-0.801854597405102,2.5244461319111733,-0.31763585178901993,0.7507611756469377,0.9998262898382668,20
AARS,1.2155206791203226,0.14233235233568264,1.572358126346217,0.09052158662252656,0.9278727407270475,0.9998262898382668,
AARS2,0.21652423004236493,0.2958541263439715,2.795464525368221,0.10583361858437511,0.9157143627972006,0.9998262898382668,6
AARSD1,0.4266990265135927,-1.011249153175226,2.5281531734050326,-0.39999520749497514,0.6891600466557308,0.9998262898382668,17
AASDH,0.6188135217686719,0.8994316055985292,1.931296622381889,0.4657138604059953,0.6414203298823782,0.9998262898382668,4
AASDHPPT,0.527761380429063,3.3121900121934087,2.4621839024658687,1.3452244606409218,0.1785527592866628,0.9998262898382668,11
AASS,5.943519493896963,-0.37866153057614127,0.8818673002594343,-0.42938606575472726,0.6676422925858829,0.9998262898382668,7
AATF,1.0911200286068543,-0.7307251901119342,2.0427042540138745,-0.35772441785249787,0.7205495579177013,0.9998262898382668,17
AATK,1.5241684886915843,-0.41865931242312215,1.3242077396629377,-0.3161583336838729,0.7518823317703718,0.9998262898382668,17
ABALON,0.0,,,,,,20
ABAT,1.7418448434382297,-0.5643659731396974,1.5316884846946246,-0.36846002224284924,0.7125302491565271,0.9998262898382668,16
ABCA1,3.3933558274516344,-0.5607245900684688,1.4191979213091768,-0.39509964159982247,0.6927693533601496,0.9998262898382668,9
ABCA10,4.565017706932516,0.1526197799211056,0.9304155918442599,0.16403398788554724,0.869704387723593,0.9998262898382668,17
