,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,2.162466,-0.01277413179982159,0.26819958019549756,-0.04762920132279923,0.9620117591430632,,19
A1BG-AS1,1.4937644,0.025283637837209945,0.21463979662533336,0.117795666203244,0.9062295635095469,,19
A2M,20.823246,0.27922553449741566,0.15164024448059735,1.8413682690490722,0.0655676094994548,0.5881480469814793,12
A2M-AS1,0.5560638,0.21861804229941975,0.41735736214350394,0.5238149895730131,0.6004072266317085,,12
A2ML1,0.60866725,-0.1736568340537072,0.4599881800614465,-0.3775245573277766,0.7057838181044573,,12
A4GALT,1.7724824,-0.27238941617410417,0.2870239616820589,-0.9490128091669028,0.34261409736476633,,22
AAAS,1.7407802,-0.07580420374427815,0.2396589654564141,-0.3163003044760468,0.7517745800707076,,12
AACS,1.7644306,0.39624883202156064,0.2571854893647984,1.5407122423594872,0.12338683592821885,,12
AADAC,0.08373814,-0.03223038802328829,1.2663658067810015,-0.025451088343276813,0.9796951616821623,,3
AADAT,1.1302019,-0.011337932885136183,0.19284263830259238,-0.05879370343059534,0.9531164237212842,,4
AAGAB,3.3515303,0.2874756767487884,0.15616222476985642,1.840878465790653,0.06563937076412901,0.5881480469814793,15
AAK1,17.726486,-0.24814209841339394,0.07689435974469142,-3.2270520131422904,0.001250727224074783,0.13470795435590627,2
AAMDC,11.611214,-0.07906518449532934,0.09548838196551612,-0.8280084222589748,0.40766573015744323,0.8619934318720658,11
AAMP,2.1053975,0.17710220104950958,0.22032542363482688,0.8038209940902844,0.42150036327054274,,2
AANAT,0.10102454,0.15936263498950645,1.6164248617579164,0.09858957181356036,0.9214641501677182,,17
AAR2,1.6506411,-0.194399383541945,0.22790640371515747,-0.852979031624358,0.3936709323488303,,20
AARD,0.13695166,-0.09049176364212036,3.934504619533248,-0.022999531680015017,0.9816506465165304,,8
AARS2,1.1334513,0.22149015346867468,0.2847324587089751,0.7778886695003033,0.43663464848434064,,6
AASDH,4.3805637,0.13642694544062559,0.12532642379438172,1.0885728748189294,0.2763422838886965,0.8158409761911974,4
AASDHPPT,2.9996042,0.259693429035925,0.2029264418750363,1.279741696726966,0.20063599486091277,,11
AASS,16.363157,-0.07416816546747432,0.11069046761277339,-0.6700501593952568,0.502825815403698,0.8908120959411869,7
AATF,5.0790935,0.07802548473800724,0.14988799131138394,0.5205586121700281,0.6026742873391637,0.9214654989804748,17
AATK,8.090724,0.34220271093067434,0.19126031221992676,1.7891987467696993,0.0735828134440819,0.5973349892302933,17
ABAT,3.9079847,-0.10344317582139424,0.1312364897067366,-0.7882196182826149,0.43056825571078106,0.8659617835502086,16
ABCA1,17.958052,-0.0670408846125901,0.15931279326409611,-0.420812938113859,0.6738916832380981,0.940847928540826,9
ABCA10,18.6758,0.0028028393766150613,0.16652132686230994,0.01683171416795532,0.9865708692301027,0.9967180936631205,17
ABCA12,0.5399927,-0.4982199844670372,0.6310452942908894,-0.7895154103429151,0.42981082651651203,,2
ABCA13,0.46592453,0.5363208327723291,0.5297144367823197,1.0124716177836102,0.3113126105366305,,7
ABCA2,2.0441685,0.2575282985755216,0.25019150130971024,1.0293247261693723,0.3033271079421326,,9
ABCA3,3.0328743,0.07883547770263126,0.155157530479389,0.5080995905197376,0.6113835024158012,,16
ABCA4,0.08720321,0.15746067448695794,0.8007255122438723,0.19664750539258585,0.8441033924530237,,1
