,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,0.7990197,-0.5087084878494661,1.26631616311919,-0.40172312623445905,0.6878878028081399,,19
A1BG-AS1,1.0372698,-0.3752532293757135,0.6005851599325437,-0.6248126900402619,0.5320940009285358,,19
A1CF,0.37278673,0.9841470702479402,4.196494544291353,0.23451646603156243,0.8145840515304728,,10
A2M,13.512217,0.3059354090298518,0.3614626766468031,0.8463817395143987,0.39733982190408346,0.8127256224163116,12
A2M-AS1,0.17615281,0.9396476744374226,2.4998131440020255,0.3758871644834672,0.7070007832165709,,12
A2ML1,0.17807716,-0.4577527091129079,2.4886339259988426,-0.183937341820647,0.8540626100238318,,12
A2ML1-AS1,0.5569461,0.5633805211154214,1.2471494624500208,0.4517345659666663,0.6514602136033266,,12
A3GALT2,0.15530758,-0.47378861865746186,2.548078690642921,-0.18593955531958764,0.8524921624004043,,1
A4GALT,1.4277191,-1.5122607649544615,0.9490015222693744,-1.5935282815333627,0.11104172899056695,,22
AAAS,0.905159,-0.13675361132734695,1.0756332867448584,-0.12713776434085486,0.898831362348686,,12
AACS,0.7797146,-0.7507830049980471,1.0542875844972657,-0.7121235382431788,0.4763882796399489,,12
AADAC,0.041734077,1.2698220438495813,4.297852464397476,0.2954550102332561,0.7676463156763953,,3
AADACL2,0.0,,,,,,3
AADACL2-AS1,0.15137194,0.5800084960257019,2.909534259667713,0.1993475395927947,0.8419908941314591,,3
AADAT,0.8757259,0.4607240844402457,0.7194800104944394,0.6403570324679735,0.5219405103431457,,4
AAGAB,4.0112205,-0.19215245512549015,0.49159786353575685,-0.39087325104193366,0.6958909267843236,0.9388649830062434,15
AAK1,14.05898,-0.4120156700995387,0.3063324472761238,-1.3449951964381806,0.1786267858124827,0.6225515290305222,2
AAMDC,9.487387,0.3199090893382454,0.3619370623305015,0.883880438434132,0.3767607579826404,0.8019054879530477,11
AAMP,0.61985,-0.19564845286808719,1.0188879081709774,-0.19202156714107932,0.8477253116453586,,2
AANAT,0.0,,,,,,17
AAR2,1.8568971,0.4864676380883389,0.9632263610114867,0.50503978896248,0.6135308899337577,,20
AARD,0.0,,,,,,8
AARS,4.6547837,-0.22217132482279658,0.48074845452930887,-0.46213632665823146,0.6439835610779816,0.9240594312792432,
AARS2,0.9099521,0.02662885600371866,0.9698914986690286,0.027455499960831853,0.9780964323412588,,6
AARSD1,1.4215523,0.3143261212044491,0.878738094880815,0.3577017123026648,0.720566551550107,,17
AASDH,2.7516634,0.015917616596701722,0.39638583439823477,0.04015687548690213,0.9679680582530663,0.9939793864401268,4
AASDHPPT,1.6352259,-1.1361643525107874,0.6814669195645845,-1.6672333166762174,0.09546802032717058,,11
AASS,20.04927,-1.0120843534129982,0.36759719611961506,-2.7532428541257667,0.005900810578747687,0.10477012116120242,7
AATBC,0.12720475,0.06648579431296156,3.672797938473789,0.018102219459584363,0.985557307369739,,21
AATF,3.885361,-0.3798721948149737,0.3523488863978516,-1.0781137942523376,0.2809829764005579,0.7263899371552367,17
