,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,0.7990197,-0.545363258737859,1.2459361556918795,-0.4377136470809083,0.6615938753798389,,19
A1BG-AS1,1.0372698,-0.404187712144676,0.7954545983531331,-0.5081216614769527,0.6113680249826963,,19
A1CF,0.37278673,0.5756326868795104,2.4955905604614963,0.2306599071175609,0.8175790231085279,,10
A2M,13.512217,0.33223708105297667,0.37254137726886083,0.8918125645227407,0.3724934059845364,0.7752947998212976,12
A2M-AS1,0.17615281,0.6171504713530404,2.2707605290253206,0.2717813981106762,0.7857901091832284,,12
A2ML1,0.17807716,-0.512657252156269,2.334849390182281,-0.21956758937510995,0.8262079353572342,,12
A2ML1-AS1,0.5569461,0.6206342839678786,1.2057137085834835,0.5147443207699963,0.6067316980618792,,12
A3GALT2,0.15530758,-0.5138470541661526,1.808969540162283,-0.28405511688165586,0.7763681422801806,,1
A4GALT,1.4277191,-1.5913878747217998,0.8784465330696324,-1.8115933239111026,0.07004905726309742,,22
AAAS,0.905159,0.040730094645300224,0.9298698876468411,0.04380192883584297,0.9650622895729941,,12
AACS,0.7797146,-0.7737638314334179,1.0303932126047113,-0.7509403419665732,0.4526885601688966,,12
AADAC,0.041734077,0.9974764611612932,4.288876681944088,0.23257289382103452,0.8160930777654327,,3
AADACL2,0.0,,,,,,3
AADACL2-AS1,0.15137194,0.5312803900351558,2.7607292817689175,0.19244204549268293,0.8473959602992794,,3
AADAT,0.8757259,0.4130855325368883,0.730426353394581,0.5655402911150672,0.5717063272934091,,4
AAGAB,4.0112205,-0.10963009168655712,0.4640830459279952,-0.2362294693772691,0.8132546132767806,0.9583149563304152,15
AAK1,14.05898,-0.3875509327664687,0.28777294314054763,-1.346724707809621,0.17806891163618244,0.5989214547563446,2
AAMDC,9.487387,0.3291772879175345,0.36086498791495725,0.9121895970553662,0.36166891925019373,0.7687090389568476,11
AAMP,0.61985,-0.2048954631870093,1.0014540876188358,-0.20459795982678608,0.8378862495070951,,2
AANAT,0.0,,,,,,17
AAR2,1.8568971,0.09843923190851019,0.7427500723493611,0.13253345314008688,0.8945623646176168,0.9766996896469265,20
AARD,0.0,,,,,,8
AARS,4.6547837,-0.30720705846296625,0.4387274342312398,-0.7002230416734022,0.4837880240408018,0.8341597196337833,
AARS2,0.9099521,-0.09711627185943622,0.9305007206067265,-0.10436990505081203,0.9168758045125862,,6
AARSD1,1.4215523,0.21320339026201235,0.8632597951724502,0.24697477104145862,0.8049277491528941,,17
AASDH,2.7516634,0.0497842407212412,0.5003229353077022,0.09950421459416713,0.9207379417468917,0.9835297312976342,4
AASDHPPT,1.6352259,-1.165983556223304,0.7447949145546039,-1.5655095563059476,0.11746347843404586,,11
AASS,20.04927,-1.006351810132008,0.36481956117272196,-2.7584919155570056,0.005806874150190991,0.09772641230412206,7
AATBC,0.12720475,-0.04151053887381919,3.220201474848084,-0.012890665133235954,0.9897150221536717,,21
AATF,3.885361,-0.3404520810466732,0.3614639703075173,-0.9418700313534205,0.3462591850896197,0.7583182768166782,17
AATK,5.383552,-1.2500087130711366,0.6039028229038554,-2.0698838714819927,0.03846322064868825,0.28860472835911954,17
ABALON,0.014401483,0.05710814547407945,4.297126680403946,0.013289844522040264,0.989396550371467,,20
ABAT,2.9141815,-0.4294006745057003,0.4098623977296684,-1.0476703324927081,0.29479052079083945,0.7173228776020927,16
ABCA1,17.2349,-0.5013059889781927,0.4912496005842176,-1.0204710362756844,0.3075051189080509,0.7260585720687335,9
ABCA10,14.29086,-0.26821886686523755,0.4911879994876117,-0.5460615225637294,0.5850236477503534,0.883931612586294,17
ABCA12,0.15779467,1.1355976069026184,3.1734273349899365,0.35784578848918863,0.7204587222037467,,2
ABCA13,0.19050863,1.4319682557309343,2.0788953397039975,0.6888120957233107,0.49094152282951065,,7
ABCA2,0.9534865,-1.1787544786525415,0.8807113733596552,-1.338411782007469,0.18076224027505705,,9
ABCA3,2.3686588,-0.41451878133931547,0.5909323511911614,-0.7014657100829842,0.48301242670781797,0.8341597196337833,16
ABCA4,0.0,,,,,,1
