,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,0.7990197,-0.5458568297469837,1.2472062096677536,-0.43766365619074005,0.6616301190141831,,19
A1BG-AS1,1.0372698,-0.4094540257219616,0.7920647756596605,-0.5169451265913868,0.6051944648490706,,19
A1CF,0.37278673,0.6012493566944224,2.5554784586205765,0.23527858537260815,0.813992515047846,,10
A2M,13.512217,0.32484255366034437,0.372292487326092,0.8725466258893746,0.3829102435911851,0.7868255373532472,12
A2M-AS1,0.17615281,0.6191235624586616,2.253826223900339,0.274698890221999,0.7835475838489064,,12
A2ML1,0.17807716,-0.5041239653504926,2.3411665004351083,-0.21533024894077404,0.8295098474897626,,12
A2ML1-AS1,0.5569461,0.6313053903912011,1.1976443264685195,0.5271225992884919,0.5981084539161265,,12
A3GALT2,0.15530758,-0.4279022749159408,2.241833699981646,-0.19087155078427273,0.8486262295578689,,1
A4GALT,1.4277191,-1.5906753167472638,0.8768978298513342,-1.8139802182164604,0.06968077134145635,0.40285073987780434,22
AAAS,0.905159,0.025546964156354924,0.9857871050810463,0.025915295528495055,0.9793249000766818,,12
AACS,0.7797146,-0.8046418127419931,1.0269751713501947,-0.7835065882694192,0.43332968637205715,,12
AADAC,0.041734077,1.0016925776613474,4.293913030376414,0.2332819902441147,0.8155424425511272,,3
AADACL2,0.0,,,,,,3
AADACL2-AS1,0.15137194,0.53116257214689,2.7689390057190795,0.19182891752032283,0.847876218697575,,3
AADAT,0.8757259,0.4726969939824889,0.9134768854553719,0.5174701204911688,0.6048280216896359,,4
AAGAB,4.0112205,-0.10949050739345124,0.510942373691035,-0.2142913037384129,0.8303198991458645,0.9637283704311983,15
AAK1,14.05898,-0.38434308630853,0.28683412343331566,-1.339948963212822,0.18026193807180435,0.616037342075562,2
AAMDC,9.487387,0.3383499471800987,0.3428718334630398,0.9868117300938093,0.3237349431685955,0.749113358496766,11
AAMP,0.61985,-0.2066215273470259,0.9963840043870681,-0.20737138135224326,0.8357198311789082,,2
AANAT,0.0,,,,,,17
AAR2,1.8568971,0.19101018344580095,0.8302597848368671,0.23006074355791112,0.8180445688284957,0.962136763444829,20
AARD,0.0,,,,,,8
AARS,4.6547837,-0.3823213375879397,0.34686496290765956,-1.102219533454923,0.2703662418674424,0.7067551077925139,
AARS2,0.9099521,-0.08048631105778221,0.924578600694848,-0.08705188612119552,0.930630269445586,,6
AARSD1,1.4215523,0.21836354138224112,0.861351390389712,0.2535127287406411,0.7998720262539695,0.9575885076488156,17
AASDH,2.7516634,0.10365238838338874,0.40750777735120153,0.2543568347508083,0.7992198953765225,0.9575885076488156,4
AASDHPPT,1.6352259,-1.172887769975678,0.7394173622717503,-1.5862323902865278,0.11268660275321371,0.5086153524804928,11
AASS,20.04927,-1.0018456906592736,0.3575394425645925,-2.8020564206095435,0.005077799234002143,0.09785789926908807,7
AATBC,0.12720475,-0.05471677161216047,3.2532337565188327,-0.016819194594461268,0.9865808569906542,,21
AATF,3.885361,-0.3500524946878615,0.43757297761947167,-0.7999865453124005,0.4237185926274325,0.8077631597279519,17
AATK,5.383552,-1.2623549150385636,0.6197188217637393,-2.036980112119012,0.04165203503371653,0.31422411433892683,17
ABALON,0.014401483,0.053964908604293496,4.305063911997597,0.012535216597807299,0.989998606133571,,20
ABAT,2.9141815,-0.40011056986619936,0.5139304397437994,-0.778530592711456,0.43625627861279737,0.8168309969365775,16
ABCA1,17.2349,-0.5031133416530609,0.49417124472802254,-1.0180951381134282,0.3086327456436666,0.734690274567991,9
ABCA10,14.29086,-0.2764441606887187,0.5052048329143453,-0.5471922330869473,0.5842466716166542,0.8894229221889106,17
ABCA12,0.15779467,1.1471990716592853,3.1941551982998404,0.3591557079849806,0.719478608927964,,2
ABCA13,0.19050863,1.4260261305413027,2.0579108747455135,0.6929484401104827,0.4883419090128611,,7
ABCA2,0.9534865,-1.1683165834486764,0.8751532003221918,-1.334985215181245,0.18188118544481213,,9
ABCA3,2.3686588,-0.37992029748310574,0.6796998761553117,-0.5589530185471062,0.5761937841917775,0.8855781198244139,16
ABCA4,0.0,,,,,,1
ABCA5,6.030402,-1.221095509271182,0.45314445899366906,-2.694715746901016,0.007044870217515244,0.11906105857843634,17
