,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,0.7990197,-0.9388065437754775,1.1416946719690624,-0.8222921301334735,0.4109106546762026,,19
A1BG-AS1,1.0372698,-0.6862775546711608,0.5652665581437762,-1.2140777563858736,0.2247180331509232,,19
A1CF,0.37278673,-0.855368892638309,3.9402958103495096,-0.2170824054355545,0.8281441254584054,,10
A2M,13.512217,0.02026223660377209,0.32535740441230077,0.06227685716995485,0.9503423579987461,0.9934457625067938,12
A2M-AS1,0.17615281,0.8573453024492486,2.2572970390730274,0.37981058212937835,0.7040860265662952,,12
A2ML1,0.17807716,-0.462888314574904,2.188692899949572,-0.21149075532047876,0.8325043452599074,,12
A2ML1-AS1,0.5569461,-0.27860349299637993,1.1730677876404532,-0.23749990915424596,0.8122689896702118,,12
A3GALT2,0.15530758,-0.48091733976672196,2.242343101226248,-0.21447089854524382,0.8301798585630199,,1
A4GALT,1.4277191,-1.162596583171104,0.7862395234506622,-1.478679904145087,0.13922588571824923,,22
AAAS,0.905159,-1.195256884524058,1.01503430208979,-1.1775531940774997,0.23897477907416254,,12
AACS,0.7797146,-0.853488089562492,0.9260768322592682,-0.9216169326688718,0.3567284230476465,,12
AADAC,0.041734077,-0.28565826336491046,4.020957912061419,-0.07104234105709961,0.9433640573106951,,3
AADACL2,0.0,,,,,,3
AADACL2-AS1,0.15137194,-0.2668439432782265,2.6771101341601806,-0.09967611712094783,0.9206014618733762,,3
AADAT,0.8757259,-0.8014521274670706,0.7602081972739717,-1.0542534668015886,0.291766887001743,,4
AAGAB,4.0112205,-0.6257389229952073,0.44825705839003555,-1.3959376908477859,0.16273325938076622,0.6026105795228481,15
AAK1,14.05898,-0.4778991668795045,0.269781710577409,-1.7714290781857134,0.07648937669137752,0.4457304019502666,2
AAMDC,9.487387,0.15978142145508067,0.3247987303466248,0.49193979694613377,0.6227619035282297,0.9140991729290571,11
AAMP,0.61985,-0.9841628332463466,0.9688806609948143,-1.0157730181504923,0.30973748755243313,,2
AANAT,0.0,,,,,,17
AAR2,1.8568971,0.4228460496917019,0.8640701336705146,0.4893654267339146,0.624583008367341,,20
AARD,0.0,,,,,,8
