,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,0.7990197,-1.091902274710595,1.120102596801961,-0.9748234472700256,0.3296478442641124,,19
A1BG-AS1,1.0372698,-0.8207385064226375,0.719029657398493,-1.1414529261451263,0.25368149069255075,,19
A1CF,0.37278673,-0.5056522359448778,2.3890895128286718,-0.2116506029722544,0.83237962806225,,10
A2M,13.512217,0.016036121162018156,0.33308092101839876,0.04814482052285532,0.9616008259877843,0.9931257139408023,12
A2M-AS1,0.17615281,1.1658589594782405,2.018240229951977,0.5776611436914928,0.5634929175047649,,12
A2ML1,0.17807716,-0.2614316713859982,2.0283236323642946,-0.12889051195506857,0.8974442844078194,,12
A2ML1-AS1,0.5569461,-0.16637161108899481,1.1350717919929105,-0.14657364605712442,0.8834685563811343,,12
A3GALT2,0.15530758,-0.5399581620520522,1.5692065424016621,-0.34409629800908753,0.7307738668722292,,1
A4GALT,1.4277191,-1.1529359500947438,0.7085401401594174,-1.6271992012129899,0.10369479734871732,,22
AAAS,0.905159,-0.9095941865448136,0.8937820974910481,-1.0176912125429138,0.3088247246490331,,12
AACS,0.7797146,-0.8637177422850767,0.8971694601812266,-0.9627141589400594,0.335690989213549,,12
AADAC,0.041734077,-0.06412554386133752,4.009418160795339,-0.01599372808961814,0.9872393953156393,,3
AADACL2,0.0,,,,,,3
AADACL2-AS1,0.15137194,-0.007296975426491243,2.534587689842812,-0.0028789595466487024,0.9977029257997349,,3
AADAT,0.8757259,-0.8228837347291068,0.7579090742953143,-1.08572883296615,0.27759898038182984,,4
AAGAB,4.0112205,-0.572443465724092,0.42029106484343237,-1.3620167393692741,0.17319260240985712,0.5878638315546549,15
AAK1,14.05898,-0.474953824096808,0.2518168366404923,-1.8861082937630516,0.05928036291165258,0.3852177103715694,2
AAMDC,9.487387,0.1539465243828315,0.3211041960988899,0.4794285663443054,0.6316337752456611,0.897919353636875,11
AAMP,0.61985,-0.9757802785121649,0.9455768849216406,-1.0319417638820847,0.3020993996475966,,2
AANAT,0.0,,,,,,17
AAR2,1.8568971,0.39318000357096833,0.6530079284752924,0.6021060180524973,0.5471035688779057,0.8651364748421054,20
AARD,0.0,,,,,,8
AARS,4.6547837,-0.6372922142168397,0.39632774008287036,-1.6079929557380586,0.10783672157482033,0.4910606269250398,
AARS2,0.9099521,-0.8024361878005271,0.885080856907386,-0.9066247242137485,0.36460528262117187,,6
AARSD1,1.4215523,0.9508312850859137,0.7323504871183817,1.298328193686605,0.19417458219700523,,17
AASDH,2.7516634,-0.08639530074849104,0.44420908718536406,-0.1944924208910637,0.845790329675971,0.9672865433282041,4
AASDHPPT,1.6352259,-0.4711322595670148,0.5992370922082627,-0.7862201217064756,0.43173853971627807,0.8108332785778553,11
AASS,20.04927,-0.8994805691682481,0.31924820089074507,-2.8174961257685314,0.004839969859039306,0.10371655534034392,7
AATBC,0.12720475,0.2392797264843923,2.9015821781114157,0.08246525922630765,0.9342767433311558,,21
AATF,3.885361,-0.18343330792102602,0.30863757616172827,-0.5943323888239249,0.5522898197476596,0.8666445987285954,17
AATK,5.383552,-0.6568151694148683,0.5072805000331851,-1.2947770895429669,0.19539713753850818,0.6174743896772541,17
ABALON,0.014401483,-0.6306968225424439,3.945136013291776,-0.15986694005416502,0.8729858915382929,,20
ABAT,2.9141815,-0.1311142749090697,0.3436299863201301,-0.38155655830024676,0.7027903119659298,0.9233066885119174,16
ABCA1,17.2349,-0.5828611278213711,0.43832880638699095,-1.329734937171288,0.18360561944512654,0.601064500892276,9
ABCA10,14.29086,0.5114162798172998,0.4271280444832572,1.1973371601858058,0.23117516599856003,0.6548507525867666,17
ABCA12,0.15779467,0.2243971534010801,2.973772077555177,0.07545875996843829,0.9398497087245566,,2
ABCA13,0.19050863,-0.36770800257191005,1.9981647092940984,-0.18402286901654474,0.8539955144073632,,7
ABCA2,0.9534865,-1.6792025278096177,0.8148996681553773,-2.060624876201868,0.03933884162102336,,9
ABCA3,2.3686588,0.6793773809090187,0.44353748888362343,1.5317248213200654,0.12559035458691736,0.5212957067387199,16
ABCA4,0.0,,,,,,1
ABCA5,6.030402,-0.1951823824051951,0.35889905403404804,-0.5438364359318666,0.5865540332402697,0.8846353300884906,17
ABCA6,38.889633,-0.3443294498983209,0.33972318960421294,-1.013558863318911,0.3107932951110852,0.7300570182740913,17
ABCA7,0.47521785,-0.5144536508583186,1.1300380205339577,-0.45525339989466246,0.6489269472836144,,19
ABCA8,61.360477,0.15887257956788764,0.2737710721663107,0.5803117849915699,0.5617043815182933,0.8725318866655726,17
ABCA9,20.411009,-0.2578455333100543,0.4621458010217345,-0.5579311393503885,0.5768914068836836,0.8817474702490027,17
ABCA9-AS1,9.570664,-1.373534926922264,0.49814693076402644,-2.757288747750834,0.005828285961521284,0.11397846102316325,17
ABCB1,2.3154671,0.5359434726214167,1.1609344621511557,0.461648344582983,0.6443335197434432,0.9036682497030795,7
