,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,0.7990197,-1.1157601819781353,1.1223962381360333,-0.994087599430199,0.3201802219575335,,19
A1BG-AS1,1.0372698,-0.8186519139666878,0.7157525255992729,-1.1437639193536355,0.252721556835691,,19
A1CF,0.37278673,-0.5464147142464321,2.443354107040699,-0.22363304306645487,0.823042850113779,,10
A2M,13.512217,0.017969354867513963,0.33280713959457897,0.05399329740763368,0.9569405043476038,0.9906955767566232,12
A2M-AS1,0.17615281,1.1281440148286037,2.006121701515443,0.5623507357387109,0.5738770770413715,,12
A2ML1,0.17807716,-0.2915286563435687,2.0351911983440982,-0.14324386651277113,0.8860975865475367,,12
A2ML1-AS1,0.5569461,-0.15345773138097862,1.1326545821751839,-0.13548502235012708,0.8922284055004193,,12
A3GALT2,0.15530758,-0.5127680644330518,1.9599571931407869,-0.261622073291995,0.7936128245660111,,1
A4GALT,1.4277191,-1.1550139757497622,0.7076807407720993,-1.6321116418819168,0.10265596970121192,,22
AAAS,0.905159,-0.9243462618461533,0.9412113508734017,-0.9820815069733293,0.3260596952900997,,12
AACS,0.7797146,-0.8734332170076264,0.8938573504254248,-0.9771505672487029,0.3284946165027163,,12
AADAC,0.041734077,-0.1022439663703062,4.007459363234314,-0.025513413138589586,0.9796454498329284,,3
AADACL2,0.0,,,,,,3
AADACL2-AS1,0.15137194,-0.030626666073096043,2.540758140513113,-0.012054144621144815,0.9903824170233199,,3
AADAT,0.8757259,-0.7566386241596161,0.8971529253833148,-0.8433775365959343,0.39901733101212167,,4
AAGAB,4.0112205,-0.577432166314599,0.4604268902410466,-1.2541234635802807,0.20979713318861548,0.6173448193342316,15
AAK1,14.05898,-0.4766357079634437,0.25098893420207724,-1.8990307659527843,0.05756043096428543,0.36271302108145465,2
AAMDC,9.487387,0.16024928478819395,0.30563728889384895,0.5243119560710743,0.600061582407049,0.8866172251505021,11
AAMP,0.61985,-0.9756739344456518,0.9417836753906257,-1.0359851842207493,0.30020905453085456,,2
AANAT,0.0,,,,,,17
AAR2,1.8568971,0.37328109658435743,0.7356022008730665,0.5074496733986388,0.6118393397144427,,20
AARD,0.0,,,,,,8
AARS,4.6547837,-0.6588786717241898,0.3187660361511267,-2.066966354633265,0.03873732440986014,0.29997517250739364,
AARS2,0.9099521,-0.8095595820536201,0.8822909075812075,-0.917565368856651,0.3588464554223475,,6
AARSD1,1.4215523,0.9510249221107805,0.7314082305689269,1.3002655457828585,0.19350997246579293,,17
AASDH,2.7516634,-0.056332508384807425,0.3676399598375807,-0.1532273815112332,0.8782189653145076,0.9757096429754376,4
AASDHPPT,1.6352259,-0.47488150158930253,0.594889382027485,-0.798268578892474,0.424714647878478,,11
AASS,20.04927,-0.8985011858833778,0.312276534579957,-2.8772612937182465,0.004011432802227569,0.08636448669174562,7
AATBC,0.12720475,0.20395302692772382,2.9277876062950403,0.06966114156956062,0.9444633711470257,,21
AATF,3.885361,-0.1663400172314176,0.3740561705165559,-0.44469261662415305,0.6565419057792102,0.9045702864316556,17
AATK,5.383552,-0.6718122397485451,0.5215472669674056,-1.2881138149853069,0.19770634700525247,0.6056534551864255,17
ABALON,0.014401483,-0.6617766770580904,3.9438966894751113,-0.16779767046741922,0.8667424552134286,,20
ABAT,2.9141815,-0.11963068364448563,0.43592093163460627,-0.2744320700451278,0.7837526003522081,0.9483656050903535,16
ABCA1,17.2349,-0.57568871075774,0.4407695563236045,-1.3060990771673904,0.19151886676631302,0.5987774430452019,9
ABCA10,14.29086,0.5198754011922297,0.44048135081575485,1.1802438405835802,0.23790324706423427,0.6447753925089135,17
ABCA12,0.15779467,0.1904528080897386,2.991327408380305,0.06366832582624644,0.9492343258866204,,2
ABCA13,0.19050863,-0.4394001791233336,1.9833437826210534,-0.22154514158037292,0.8246679918115645,,7
ABCA2,0.9534865,-1.6828055375266733,0.8122420304807065,-2.071803076394291,0.038283809682221226,,9
ABCA3,2.3686588,0.6937763429602722,0.5339823777469521,1.2992495106065927,0.19385831528614006,0.6014523955605557,16
ABCA4,0.0,,,,,,1
ABCA5,6.030402,-0.19821085439732405,0.3557702005169049,-0.5571316937431521,0.5774374546659744,0.8783470647166169,17
ABCA6,38.889633,-0.3294970672064592,0.36205926656891396,-0.9100638973529575,0.3627888128275132,0.7577851470914513,17
ABCA7,0.47521785,-0.5192294191803822,1.1255048013135167,-0.4613302569428555,0.6445616802595753,,19
ABCA8,61.360477,0.16757570614036363,0.2661362038308139,0.62966144300643,0.5289161141658363,0.8540674988413473,17
ABCA9,20.411009,-0.2478324336004407,0.4631610933856996,-0.535089058946618,0.5925882752123387,0.8854753344394638,17
