feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,1.9677407,-0.22440316277778607,0.2843740393573884,-0.789112688643728,0.43004614646264794,,19
A1BG-AS1,0.9485748,0.16331587700219952,0.32210813647267905,0.5070218926806024,0.6121394575837394,,19
A1CF,0.0025472364,0.5353330898553248,3.138633586526572,0.17056246774181794,0.8645678117986297,,10
A2M,17.737923,-0.36602539150986385,0.11404048233028734,-3.209609289881558,0.0013291550678219733,0.03039334588419579,12
A2M-AS1,0.8094035,0.3372703825476782,0.37717058618953,0.8942117834665884,0.3712085887585401,,12
A2ML1,0.11790679,-0.02089369822261402,0.6541557378115082,-0.031939944901369095,0.9745199434533663,,12
A2ML1-AS1,0.66633415,0.10644918376835077,0.34759937685228837,0.3062410086355999,0.7594211509408035,,12
A3GALT2,0.1949737,0.564903933214893,0.7873876212738435,0.7174407089369601,0.4731022085074801,,1
A4GALT,1.0776318,-0.22962307121204364,0.35572700651276773,-0.6455036221822591,0.5186008717317732,,22
AAAS,1.417529,-0.1511007583693666,0.32931166726882377,-0.4588381566390723,0.6463503918076412,,12
AACS,1.1773008,-0.13535421546644177,0.32168379096330507,-0.42076790708389106,0.6739245686175155,,12
AADAC,0.06281531,0.5550355428698804,1.103409128917946,0.5030188062828281,0.6149510500485802,,3
AADACL2,0.046694685,0.3920144759689639,2.844916332582865,0.13779472931390524,0.8904026500216053,,3
AADACL2-AS1,0.22387943,0.20998358040624912,0.6928102669545252,0.3030895909341829,0.7618215865267743,,3
AADACL3,0.0086394455,0.6643868215697656,3.1334161054088754,0.21203274612104878,0.832081487378722,,1
AADAT,0.5772179,0.4208339104728477,0.2564154381296881,1.6412190839305125,0.10075194562627693,,4
AAGAB,1.5022324,4.255929324945736e-05,0.2280355324968707,0.0001866344809664318,0.999851087229988,,15
AAK1,9.155801,-0.0985875321642057,0.08408941493237132,-1.1724131062571246,0.24103124004430865,,2
AAMDC,9.29429,0.001589920728699706,0.11086905764051995,0.014340527127549324,0.9885583069778959,,11
AAMP,1.5510604,-0.3990298572896585,0.2770405935977069,-1.4403299246069814,0.14977407899302597,,2
AANAT,0.013630059,0.5020206412701772,3.1322047518938776,0.16027708308871955,0.8726628105337924,,17
AAR2,0.8561312,0.026905777394802755,0.27795905186693093,0.09679762977348019,0.9228871062634906,,20
AARS1,2.8314917,-0.15577433557055592,0.1654706865981784,-0.9414013972688187,0.34649919782778127,,16
AARS2,1.0570315,0.15756217014822457,0.39211582853354643,0.40182557979738576,0.6878123952897888,,6
AARSD1,1.5442771,0.05230968291025822,0.21954525212225603,0.23826378573256066,0.8116765073891656,,17
AASDH,3.1139147,-0.21343970028198847,0.20853091704243804,-1.023539834328506,0.30605267574126493,,4
AASDHPPT,2.2372396,-0.08255544222711958,0.18717760499874203,-0.4410540578701945,0.6591738622214489,,11
AASS,10.14618,0.07292000346544043,0.11462152098526004,0.6361807349844686,0.524658628311,,7
AATBC,0.051378272,0.8844813495001352,1.473091855036,0.6004251170600085,0.5482229527117124,,21
AATF,3.0373697,-0.15887225666828286,0.16454061502388764,-0.9655504000955517,0.3342692047654663,,17
AATK,6.4809804,0.07272577021004319,0.2092854155595157,0.3474956437629155,0.7282189906313568,,17
ABAT,2.1830711,0.08264170881703013,0.17596267282028247,0.46965477105155895,0.6386016866184042,,16
ABCA1,6.609009,0.045604120396103225,0.16897886338355075,0.26988061987723466,0.7872520972353341,,9
ABCA10,15.026554,0.28272315257442865,0.18551288948377886,1.5240081342118807,0.1275066792470673,0.37621325575693837,17
ABCA12,0.03818571,0.5374894627919647,1.1779977751114468,0.45627375038218093,0.6481931374907504,,2
ABCA13,0.20777291,0.9596625271080329,0.6595783673787137,1.4549636170178064,0.14567933414765735,,7
ABCA2,1.409178,0.07638988131617105,0.31417686042583676,0.24314292660710865,0.8078946781656612,,9
ABCA3,1.7917423,0.2955325853895762,0.20429057478109935,1.4466285862979442,0.1480009754256717,,16
ABCA4,0.07185951,0.4223263569689965,1.2188451369635596,0.3464971423860413,0.7289691314103268,,1
ABCA5,5.0545917,0.1414339104743297,0.15021100763150796,0.9415682159678344,0.34641374885273357,,17
ABCA6,24.103498,0.04418534511752019,0.12557657128226257,0.35185978297021137,0.7249434213980486,0.8648846957199865,17
ABCA7,0.33074927,0.4759726091287387,0.47350922442719773,1.0052024006597144,0.3147993994506989,,19
ABCA8,40.091793,0.0012041193661723158,0.09687661667008116,0.01242941183911297,0.990083019540548,0.9956370565709807,17
ABCA9,17.408394,0.011496683931076505,0.12837595813529296,0.08955480526159244,0.9286410002064368,0.9744062029105144,17
ABCA9-AS1,1.5544335,0.4058931402297281,0.3068843914386337,1.3226255604820902,0.18595992968375197,,17
ABCB1,0.26501077,-0.1268142837754677,0.5032574264265947,-0.2519869099119293,0.8010511817769526,,7
ABCB10,2.143309,-0.1914695425301709,0.20346625699183857,-0.9410383095505173,0.346685227407867,,1
ABCB11,0.1267703,0.5975964889947638,0.99035370745888,0.6034172281013814,0.5462311641044905,,2
ABCB4,1.179315,-0.22620562545444578,0.2528825416694775,-0.8945086677834053,0.3710497942293478,,7
ABCB5,0.16378641,-0.01496345697589722,0.7512752179779802,-0.01991741058113246,0.9841092562646876,,7
ABCB6,1.4175851,-0.10267004671186802,0.37677526380757637,-0.27249678143494804,0.7852400657182066,,2
ABCB7,4.9380527,-0.07461402917692583,0.12382784384765276,-0.6025626132093892,0.5467996981253085,,X
ABCB8,2.0735095,0.055869639721715436,0.2375827798265516,0.23515862455394843,0.8140856183757409,,7
ABCB9,0.64775866,0.5557166518277451,0.46983983728469997,1.1827789125744312,0.23689678002033654,,12
ABCC1,4.152769,-0.1744292325470149,0.16870860272499769,-1.033908346875127,0.3011790125244772,,16
ABCC10,1.7939283,0.21272472127434103,0.22134462734925436,0.961056628398248,0.3365236955409264,,6
ABCC11,0.06422479,0.44403499790427003,1.0696051867763863,0.4151391591906153,0.6780400343142934,,16
ABCC12,0.05746673,0.6933588872813901,2.289246485598121,0.30287646683892727,0.7619840062535483,,16
ABCC2,0.20568581,0.281393396080643,0.5833958036872514,0.482337024541735,0.6295665497734082,,10
ABCC3,0.78474945,-0.02921764781384943,0.41626953968548613,-0.07018925246349979,0.9440430285200367,,17
ABCC4,3.961908,-0.18209718283319679,0.38660700996363334,-0.47101366022909413,0.6376309799659083,,13
ABCC5,5.466641,-0.06205022068159715,0.1059876530791679,-0.5854476335583022,0.5582467679697192,,3
ABCC5-AS1,0.028935917,0.4217610091871573,1.5016225798878777,0.28087018325113966,0.7788099707578133,,3
ABCC6,0.48210618,-0.14363851719420143,0.4801909767128517,-0.29912789735758716,0.7648424612094792,,16
ABCC8,0.13791327,0.01017134038976386,0.7390912723448123,0.01376195440313435,0.9890198956458959,,11
ABCC9,4.048221,-0.3304486476311751,0.26267366328972097,-1.2580197172896634,0.20838462554311377,,12
ABCD1,0.28308207,0.4328177044679442,0.398594164280522,1.0858606152681562,0.2775406638924591,,X
ABCD2,0.7593611,0.022235946702953046,0.3365519967228752,0.06606987009280067,0.9473221986037499,,12
ABCD3,14.673821,0.05945997937856775,0.09526410223128295,0.6241593421434901,0.532522945196354,0.7516681901331251,1
ABCD4,1.4345052,-0.0405420946624569,0.22106072911292118,-0.18339799576860794,0.8544857483425954,,14
ABCE1,1.8855424,0.01755674563823227,0.21306725389538536,0.08240001838505188,0.934328621431875,,4
ABCF1,1.8624663,-0.022611563190801126,0.209242749290443,-0.10806378365548408,0.9139450963292409,,6
ABCF2,0.84831595,0.23906086825181336,0.29626476429260634,0.8069163027963209,0.41971470554373147,,7
ABCF3,0.99358106,0.013543652912131148,0.3762141577409423,0.03599984911109376,0.9712824792694423,,3
ABCG1,0.8269484,-0.23749608364351876,0.5034325988300735,-0.4717534863563378,0.6371027548290251,,21
ABCG2,3.12042,0.29466541749711056,0.21999265440479673,1.3394329837709602,0.1804297576775683,,4
ABCG4,0.014672962,0.3389446299404408,2.5661813998260983,0.13208132128282513,0.8949199699209457,,11
ABCG5,0.052029297,0.5573134768052503,1.2026666999020126,0.4633981109235481,0.6430790324746847,,2
