feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,1.9677407,-0.20541944725074984,0.28422482778960484,-0.7227357611517666,0.4698422404666107,,19
A1BG-AS1,0.9485748,0.2035343792033709,0.3209783563194971,0.6341062417329341,0.5260114895997785,,19
A1CF,0.0025472364,0.5348095173122069,3.1186448009414462,0.17148779404142478,0.8638402272235712,,10
A2M,17.737923,-0.2992195226853148,0.11921865996201339,-2.509837996674808,0.012078656073981963,0.12724026123895923,12
A2M-AS1,0.8094035,0.4404477714761689,0.48064049156124355,0.9163767497937629,0.35946932561406386,,12
A2ML1,0.11790679,0.047104748636394835,0.8095448018672465,0.05818671002240506,0.9535999066522796,,12
A2ML1-AS1,0.66633415,0.1600784561443833,0.3862960997505016,0.414393146210313,0.6785862075174636,,12
A3GALT2,0.1949737,0.5719520762454017,0.9024850897526663,0.6337523829918896,0.5262424331373617,,1
A4GALT,1.0776318,-0.2712445713026087,0.3652071649722422,-0.742714265540833,0.4576546910894994,,22
AAAS,1.417529,-0.11508735084566946,0.35880599865834345,-0.3207509107317242,0.748399162813179,,12
AACS,1.1773008,-0.1861200791463016,0.3340321254815999,-0.5571921529342662,0.5773961505335674,,12
AADAC,0.06281531,0.5640541103595413,1.3767191083953063,0.4097089282192056,0.6820194798660861,,3
AADACL2,0.046694685,0.3883066185095658,2.9585944401048545,0.1312469912218871,0.8955799238145605,,3
AADACL2-AS1,0.22387943,0.2305128797883064,0.7335512239863768,0.3142423763341541,0.7533369599145329,,3
AADACL3,0.0086394455,0.6588836960725258,3.1125576782697726,0.21168561812444553,0.8323523089144664,,1
AADAT,0.5772179,0.4463336327517371,0.3029244288236344,1.4734157772782233,0.1406389586099795,,4
AAGAB,1.5022324,0.0002394310477265332,0.2585152025090698,0.0009261778239836125,0.999261017119336,,15
AAK1,9.155801,-0.07540588792206744,0.08280780338506435,-0.9106133098522455,0.36249915509802644,0.6735674124570961,2
AAMDC,9.29429,0.009011920175566929,0.10812155223932594,0.08334989637976281,0.9335733267120485,0.975033151708764,11
AAMP,1.5510604,-0.4291978476802424,0.2905864989501427,-1.4770054673251762,0.1396741717285607,,2
AANAT,0.013630059,0.49801482865688035,3.1120002000041396,0.16003046164849793,0.8728570785164449,,17
AAR2,0.8561312,0.01012040153311081,0.2614259278867952,0.03871230988799714,0.9691197588957977,,20
AARS1,2.8314917,-0.11143373525655123,0.16164250582094059,-0.6893838640437305,0.4905817349974365,,16
AARS2,1.0570315,0.13811211755584837,0.4461250521439509,0.30958162266862305,0.7568791331547573,,6
AARSD1,1.5442771,0.06241522527351821,0.2248948210319819,0.2775307363109186,0.781372608195027,,17
AASDH,3.1139147,-0.18099321257613327,0.27132360835539865,-0.6670750609326104,0.5047241891500394,,4
AASDHPPT,2.2372396,-0.1352844410037873,0.17751801593906916,-0.7620885141608501,0.4460071775274025,,11
AASS,10.14618,0.05696069322114865,0.11409051319959848,0.49925880446779436,0.6175970726178146,0.8292884730113805,7
AATBC,0.051378272,0.8774653288212027,1.7648160954574683,0.4971993008675216,0.6190485144117599,,21
AATF,3.0373697,-0.17818288020998366,0.16106186457935717,-1.106300865666377,0.26859631723879995,,17
AATK,6.4809804,0.0627799722101715,0.20807037033393916,0.30172471029591474,0.762861929577035,,17
ABAT,2.1830711,0.07587014911823307,0.16312675974980878,0.4650993450406104,0.6418603150056029,,16
ABCA1,6.609009,0.0550091738746384,0.16568296464689403,0.3320146642225696,0.7398781860600117,,9
ABCA10,15.026554,0.2943090635792735,0.18411702195989044,1.5984891589403842,0.10993415620866065,0.38248557969895874,17
ABCA12,0.03818571,0.5312925671333595,1.4752867367189182,0.36012834245020736,0.7187511585749736,,2
ABCA13,0.20777291,0.9843594974065276,0.7556992495481714,1.302581017508051,0.19271784189680297,,7
ABCA2,1.409178,0.09981462268921304,0.32175594733996155,0.3102184233559814,0.7563948613477204,,9
ABCA3,1.7917423,0.27862678632729854,0.21703122532253513,1.2838096726092056,0.19920855834792905,,16
ABCA4,0.07185951,0.4210677991977869,1.4713759003575062,0.28617282578536074,0.774745755662582,,1
