feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,1.8765632,0.5925724504073074,0.65711546338715,0.9017782770669391,0.3671746614822581,0.6972470929494676,19
A1BG-AS1,2.8147612,-0.34815470200258636,0.5675455482471561,-0.613439226292673,0.5395859557031105,0.8044773156333339,19
A1CF,0.10797259,-0.6825807209027388,3.568524277543753,-0.1912781496816844,0.8483076790537876,,10
A2M,25.01118,0.8425369036689474,0.6450613085903154,1.3061346145689396,0.1915067834734122,0.5317129517614739,12
A2M-AS1,0.16311848,0.32479100340869327,1.9150533115964499,0.16959893567554893,0.8653255596311902,,12
A2ML1,0.56524235,-0.37238478587563445,0.8734719316876011,-0.4263271346981515,0.6698694881972594,,12
A2ML1-AS1,6.723643,0.7485013614641755,0.4578918464386492,1.6346684643673024,0.10211856678711737,0.4089784373575819,12
A3GALT2,0.509154,-1.278567300467027,1.0711852724454856,-1.1936005221095827,0.23263426966341083,,1
A4GALT,1.8215221,-1.5279909765964648,0.6160379769199263,-2.480351916347968,0.013125276999774428,0.15505856925926761,22
AAAS,2.0993767,-0.4964776678406896,0.5720917245215669,-0.8678287878676931,0.3854880678896978,0.7079079569093631,12
AACS,1.9949039,-0.06354567979084738,0.6153806967807395,-0.10326238720726197,0.9177547266510165,0.9720643756260196,12
AADAC,0.024155304,-1.2595978827541034,6.697613753548667,-0.1880666650994494,0.8508243921894486,,3
AADACL2,0.019015983,-0.6825316384279577,6.756965176754616,-0.10101156666842244,0.9195412782684272,,3
AADACL2-AS1,0.15644428,-0.08297546757838525,1.9242022998651052,-0.04312200831700606,0.9656042755151104,,3
AADACL3,0.0067979735,-0.10547813918425923,6.6987160207572,-0.015746023395739703,0.9874370101795075,,1
AADACL4,0.00344902,-0.6825322445700203,6.756965250288508,-0.10101165527540305,0.9195412079300458,,1
AADAT,2.3428588,0.19245339701999165,0.5469091587038553,0.3518928033242224,0.7249186565719483,0.8960383102182864,4
AAGAB,4.6163783,-0.41191999088731457,0.4021665422655783,-1.0242522626740427,0.3057161393031925,0.6488307111564743,15
AAK1,27.934618,-0.5305390234910241,0.20413599634060187,-2.5989489017204845,0.009350969165995995,0.12945925661190635,2
AAMDC,18.548765,0.15763929009976527,0.17104053926128734,0.9216486967393743,0.3567118489529265,0.6896332005936376,11
AAMP,3.2002869,0.08511310921275876,0.464564950159903,0.1832103545122439,0.8546329701531242,0.9498759397823552,2
AANAT,0.065761246,-0.6825597232285806,5.114733083495867,-0.13344972495848367,0.8938377222136671,,17
AAR2,1.9531866,0.05720203303857034,0.5091346206712328,0.11235148959848053,0.9105447174049036,0.9684737231134013,20
AARD,0.0,,,,,,8
AARS1,8.216025,-0.5261369069557483,0.3470521766898735,-1.5160167326249196,0.12951512144864472,0.44964743498489446,16
AARS2,0.98256606,-0.7552802725458425,0.5670545412555479,-1.3319358502509004,0.18288126925037806,,6
AASDH,7.8613915,0.145038499542622,0.29982030357450384,0.4837514264826319,0.6285622912247615,0.8545887099877919,4
AASDHPPT,2.606599,0.5710217024110673,0.5271737173602857,1.083175590145771,0.2787304922117515,0.6257495589048397,11
AASS,22.189737,0.232008209644667,0.35864490743994965,0.6469022836564707,0.5176951877491813,0.7938849942474471,7
AATBC,0.1445206,0.41979542283932647,3.0499329821750103,0.13764086794456584,0.8905242549560781,,21
AATF,5.9004593,-0.17094587701586633,0.3442838253448958,-0.4965260184518299,0.619523335112409,0.8486666853024738,17
AATK,6.307096,-0.3390039987188501,0.5319907694453052,-0.637236617981778,0.5239707291144855,0.7973281034911713,17
ABALON,0.065217435,-0.6825662985832804,4.71906213476133,-0.14464024399157474,0.8849949212153788,,20
ABAT,6.4362574,0.5214309936935351,0.45837085017411805,1.1375745065277663,0.2552981968368271,0.6022236405160672,16
ABCA1,21.662632,-1.4412561483855548,0.5639358681534877,-2.555709309827558,0.010597160583243741,0.13681932010020037,9
ABCA10,35.65573,-1.0503147225392166,0.5482585180465069,-1.9157289635582495,0.055399603772849984,0.3055408581993922,17
ABCA12,0.5836293,-2.522722676930232,1.9590130104234895,-1.2877518747998937,0.19783234955073403,,2
ABCA13,0.49527192,0.7489865288010371,1.5079396925047648,0.49669528066930335,0.619403950935202,,7
ABCA2,2.4320958,-1.066404083959492,0.6138037188273148,-1.737369864745818,0.08232190688827441,0.3693203851026564,9
ABCA3,4.577702,-0.5418047224751478,0.41741392171505654,-1.2980034787747339,0.194286139566625,0.5334458182689692,16
ABCA4,0.18585481,0.5526670215537576,2.4658540527666273,0.22412803423368827,0.822657679145834,,1
ABCA5,9.690472,-0.23232517845351164,0.42387785604855577,-0.5480946341931542,0.5836269247810437,0.8287656525877629,17
ABCA6,132.52834,0.3496127396617487,0.38058527807639697,0.9186186639399359,0.3582950662461504,0.6902209144551902,17
ABCA7,0.8515668,0.7351344287800516,1.3219228410823918,0.5561099376860171,0.5781357019406317,,19
