feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,1.8765632,0.7395150219413126,0.6192329344431351,1.1942436857082626,0.23238265903134225,,19
A1BG-AS1,2.8147612,-0.4333963216243643,0.5635690921032167,-0.7690207424380692,0.4418809969627647,0.7349964067330342,19
A1CF,0.10797259,-0.6911498331316986,2.838028966077923,-0.24353163459316218,0.8075935817568376,,10
A2M,25.01118,0.8459071632251172,0.6742103816193792,1.2546635090271694,0.20960093791798418,0.5329174228760124,12
A2M-AS1,0.16311848,0.3267058699825035,1.4710645893385095,0.22208805265947745,0.8242453382321716,,12
A2ML1,0.56524235,-0.057375329954378836,1.000704173146645,-0.057334956217846164,0.9542783751056926,,12
A2ML1-AS1,6.723643,0.8131722854695635,0.45902311138149166,1.7715279804152178,0.07647294400636993,0.33180665233145856,12
A3GALT2,0.509154,-1.2550529462757951,1.1424416490457472,-1.0985707211603406,0.27195535449113106,,1
A4GALT,1.8215221,-1.5167691671282912,0.6486136562181537,-2.3384786191090363,0.019362433542390003,,22
AAAS,2.0993767,-0.4452598164552437,0.5679417363584071,-0.7839885466248895,0.4330468308541735,0.7279530045387761,12
AACS,1.9949039,-0.18968072813979017,0.556758629612558,-0.34068754043702354,0.7333388194322261,,12
AADAC,0.024155304,-1.1629704980592819,6.736011494012021,-0.17264971995565992,0.8629267678125356,,3
AADACL2,0.019015983,-0.6142723454608374,6.796099399540096,-0.09038601546975701,0.9279804692425184,,3
AADACL2-AS1,0.15644428,-0.1527734012365528,1.5683147558590236,-0.09741246179429919,0.922398848714767,,3
AADACL3,0.0067979735,-0.03437033460888653,6.7384743909239075,-0.005100610704283472,0.9959303191146861,,1
AADACL4,0.00344902,-0.6051082939181455,6.796462899663492,-0.08903282528741616,0.9290558228926825,,1
AADAT,2.3428588,0.21664644387416662,0.48061786938221807,0.4507665188409287,0.6521578345228225,0.8547287176871204,4
AAGAB,4.6163783,-0.5652073566932821,0.3949205288806119,-1.4311926460124575,0.15237501062248482,0.46244211020102755,15
AAK1,27.934618,-0.4412553964129892,0.19252948169083883,-2.291884819601556,0.021912290461186625,0.17776575807755937,2
AAMDC,18.548765,0.1585243448072553,0.1680391533814661,0.9433774308978383,0.34548788295018407,0.6619601998085731,11
AAMP,3.2002869,0.047946800944645776,0.4417180142959133,0.1085461751454074,0.913562454393745,0.9680231201508827,2
AANAT,0.065761246,-0.6643199979187066,3.758887928946657,-0.17673312173073144,0.8597180229986314,,17
AAR2,1.9531866,0.10767991509746955,0.5200333153714536,0.2070634936543538,0.8359602720520543,,20
AARD,0.0,,,,,,8
AARS1,8.216025,-0.4169004806291162,0.341232458543475,-1.2217491923500607,0.22180248737307195,0.5478530300533819,16
AARS2,0.98256606,-0.9288064890128411,0.5767090418766853,-1.6105287442527094,0.10728247550891429,,6
AASDH,7.8613915,0.18407248983466096,0.2973162816505776,0.6191133859631442,0.5358416655666782,0.7930423791784014,4
AASDHPPT,2.606599,0.38613252915326957,0.4879813782831318,0.7912853775523203,0.4287774793314326,0.7240419163910249,11
AASS,22.189737,0.1576657737091631,0.3572353818458638,0.4413498262531875,0.6589597595387345,0.858375431070043,7
AATBC,0.1445206,0.4720652698066815,2.538555817869219,0.18595819973063177,0.8524775412874035,,21
AATF,5.9004593,-0.2854621014140896,0.3403347605299025,-0.8387685729474826,0.40159918947295203,0.7051508482156291,17
AATK,6.307096,-0.3010808650367944,0.5477335989003654,-0.5496848570933879,0.5825355449534655,0.8217220782858977,17
ABALON,0.065217435,-0.6513568511945798,3.747533339594383,-0.17380948804716434,0.8620151875112999,,20
ABAT,6.4362574,0.5794082382077509,0.46198566402500874,1.2541693029166934,0.20978047487066576,0.5329528169477387,16
ABCA1,21.662632,-1.4494791730607306,0.5745202505860371,-2.5229383500097606,0.011637880193926775,0.13280389526261122,9
ABCA10,35.65573,-1.1024897248797354,0.5543363099058929,-1.9888463107655707,0.046718169344124816,0.2635900264099349,17
ABCA12,0.5836293,-2.2207836710598206,1.8323399924813017,-1.2119932327910934,0.2255149710788118,,2
ABCA13,0.49527192,0.7233755058007334,1.4450021307210505,0.5006051482012499,0.6166490385369721,,7
ABCA2,2.4320958,-1.002505354607579,0.6285887171353886,-1.5948510166969072,0.1107455554979268,0.3954561022597964,9
ABCA3,4.577702,-0.6131264668429017,0.4067154318663225,-1.507507261353244,0.13168068400347743,0.43122297264910825,16
