,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,0.46385676,2.3326786588727533,2.3893466203804863,0.9762830721066711,0.3289242062532868,0.9979387898792627,19
A1BG-AS1,0.4041486,0.37321838961824927,2.552205999990471,0.14623364635129088,0.8837369451021694,0.9979387898792627,19
A2M,4.2149343,-0.5525451163746926,0.8311033841259329,-0.6648331927511058,0.5061571898096696,0.9979387898792627,12
A2M-AS1,0.0,,,,,,12
A2ML1,0.6387952,2.9554123933451373,2.567211052782382,1.151215203028211,0.24964371220612602,0.9979387898792627,12
A2ML1-AS1,0.50422114,-1.7661716170897472,2.6065436241349036,-0.6775914282562331,0.498030782481081,0.9979387898792627,12
A3GALT2,0.17900984,0.22325648026382097,4.0179340601092735,0.05556499358223644,0.9556883524747453,0.9979387898792627,1
A4GALT,0.7413395,0.7737995254889967,1.383051850018962,0.559486996440797,0.5758294033565511,0.9979387898792627,22
AAAS,0.3354004,1.8714634269854133,2.665281305868197,0.7021635663241172,0.482577163959812,0.9979387898792627,12
AACS,0.53936017,1.6861361542126982,2.092147549626993,0.8059355825612384,0.4202799930533616,0.9979387898792627,12
AADACL2-AS1,0.17218582,-0.4619438937466781,3.7259701088759987,-0.12397949533900884,0.9013315101404117,0.9979387898792627,3
AADAT,0.93011945,1.2007241744191917,1.7181204933590823,0.6988591190549542,0.48464007799527187,0.9979387898792627,4
AAGAB,2.5676715,-0.1466584159510579,1.1517092926113817,-0.12733978695137999,0.8986714711753608,0.9979387898792627,15
AAK1,7.9517703,-0.09941388682486858,0.6148670831440682,-0.16168354031333812,0.8715550669128218,0.9979387898792627,2
AAMDC,3.242805,-0.9725160009420368,0.9698384364723726,-1.0027608355876299,0.3159762694381747,0.9979387898792627,11
AAMP,0.08710224,0.22325719287486662,4.225802735546829,0.052831901261471595,0.9578658434551598,0.9979387898792627,2
AAR2,0.500831,-0.24576495244732025,2.370020853054397,-0.10369737976380557,0.9174095060914137,0.9979387898792627,20
AARS,1.2155206,0.6181955220845419,1.2881099265633698,0.4799245074788492,0.631281074098849,0.9979387898792627,
AARS2,0.21652423,1.1656593125679822,3.32903517269281,0.3501492931434235,0.726226658954499,0.9979387898792627,6
