,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
CRTC2,0.7280457,-0.4550580850537767,0.28207613910214174,-1.613245581502365,0.10669116413810367,0.3143492991459927,1
ID4,9.472535,-0.20566634445210244,0.16261728664174793,-1.2647262089988822,0.20596949135963427,0.4446343007125931,6
ATP11C,3.3370333,-0.016456634175183733,0.1249516141081375,-0.13170405434652158,0.8952183785518132,0.9507089483973724,X
MEIS1,7.039235,0.03424598692732805,0.18396436676171973,0.18615554484899374,0.8523227845989294,0.9282755904743785,2
ZNF516,4.280186,0.003881863614269594,0.11245500267358123,0.03451926123320035,0.9724630832573856,0.9884588922030546,18
UIMC1,4.9850545,-0.01264234229718577,0.10787829731070499,-0.1171907845446801,0.9067088694674597,0.9556000541074796,5
FDFT1,5.02644,-0.5125704328212806,0.22032849676730776,-2.326391911812542,0.01999765271833159,0.14471312751923335,8
INIP,2.3805034,-0.22006967618778123,0.19942283015680992,-1.103533010812936,0.2697957642141404,0.5130791691793004,9
TMEM143,1.0084255,-0.3656189796053556,0.23749942037678315,-1.5394520922422297,0.12369396507437105,0.3384710337080102,19
NEK1,9.604078,-0.03114674221140789,0.0918783195243395,-0.33899991175999683,0.7346097966370573,0.8618569167463177,4
SLMAP,8.481036,0.0914298866956751,0.1079983561830745,0.8465859104437369,0.39722596997393367,0.6393894799469843,3
TSN,4.209928,-0.16201797899772602,0.17192521266336178,-0.9423747482282624,0.34600081087568146,0.5918766852589811,2
IQCG,1.6344546,0.07272241386019493,0.17883345235683432,0.40664882829130133,0.6842659291989641,0.8311063222617894,3
LRP1,7.053154,0.028253241417752692,0.13120221031584084,0.21534120004334642,0.8295013100253805,0.918286343755837,12
SGCZ,1.2524049,-1.0670013914071756,0.6085427045673368,-1.753371428823216,0.07953827195509539,0.26915159513466186,8
ZNF398,2.0775156,0.16115502376253002,0.16478619116215246,0.9779643708370606,0.3280919460917936,0.5738933628719802,7
SLC43A2,1.1732205,-0.4281706710728436,0.2757988178399702,-1.5524746422999023,0.12054869557693516,0.3337692008786392,17
ATP11A,4.349143,0.1859938956069571,0.11387478553680197,1.6333193931403516,0.10240184014179064,0.30687917995796543,13
CRLF1,1.3150252,-0.2591513344556565,0.20038277222016457,-1.2932815111017715,0.19591371286767068,0.43272595283084686,19
NNT-AS1,2.9106948,0.11516803786869304,0.19779517044072134,0.5822590997145128,0.5603921704951639,0.7600550799339856,5
IWS1,5.784929,0.013015112868116555,0.12856676896008198,0.10123232444425471,0.9193660373182847,0.9626876229891923,2
MYH14,1.8772516,-0.19750965758481842,0.16573388864970726,-1.1917276496315847,0.23336805278773232,0.47638601845044654,19
ARHGAP44,1.7833662,-0.03671231124575275,0.22291398506175172,-0.1646927232294676,0.8691858447915409,0.9382092672596708,17
SRFBP1,4.0709734,-0.13287164486938904,0.13849994464567844,-0.9593624402472639,0.33737618973718553,0.5836575795862243,5
TCF7,2.552164,-0.15253213128396756,0.15185039355525382,-1.0044895354747019,0.3151427126880989,0.5615788068800805,5
P4HA2,2.9465346,-0.3755963097861561,0.12250538197939366,-3.065957623391063,0.002169740640110972,0.06404978625472725,5
IER5L,4.3840423,-0.16277935422471831,0.15204584384773664,-1.070593908424952,0.28435206366792465,0.5283438811916007,9
ZNF302,5.8457675,0.06912677945722422,0.11251343866460978,0.6143868703833999,0.5389597098637633,0.7499481541911264,19
TLR3,0.18996866,-1.6889384323764929,2.920665240748967,-0.5782718295861207,0.5630806102851798,,4
MAP3K12,1.7053453,0.07784785501377023,0.18774398441133267,0.4146489979844656,0.6783988735296167,0.8281428768649881,12
PACSIN3,1.0963527,-0.793183130767254,0.2999964178971267,-2.643975339196378,0.008193862572086699,0.10339238887885442,11
ZNF783,1.3746775,-0.034001442189240935,0.18846643651927208,-0.18041112686801417,0.8568298196710868,0.9314242006431991,7
KCNJ13,0.1613546,-1.5288978094755041,2.9196951094261756,-0.5236498169070767,0.6005221254865677,,2
