,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
CRTC2,0.7533822,0.16665286463252185,0.12642233305520278,1.3182232965100575,0.18742890906289933,,1
ID4,2.4437687,-0.22880393666552992,0.094262198286267,-2.427313820654491,0.015211091865625954,0.07185966234005559,6
ATP11C,3.9115162,0.11678179650805946,0.06757957420404712,1.728063514508882,0.08397683785835797,0.22198177499565902,X
MEIS1,3.2734025,-0.14937392435398802,0.07317177917292428,-2.0414144092489255,0.04120965341488653,0.13967099466518404,2
ZNF516,5.418673,-0.04095441029850031,0.05513002289907546,-0.7428694592322965,0.45756071759861505,0.6453756624756932,18
UIMC1,5.3296556,-0.15295385193858962,0.050444452427535376,-3.0321243383167134,0.0024283915244815483,0.019697924056496015,5
FDFT1,1.2528929,-0.15433597125859164,0.10637370183946787,-1.4508846509027697,0.14681198265393614,0.31904370788752906,8
INIP,1.3661076,-0.1293908138266357,0.09341647882838755,-1.3850962426483173,0.16602304067486773,0.3436798868315423,9
TMEM143,1.0205013,0.11059226658449609,0.12480099142610528,0.8861489425745294,0.3755372724919618,,19
NEK1,9.607689,-0.14604016140072726,0.04986655914820101,-2.9286191767653937,0.0034047128273180737,0.024781602473455507,4
SLMAP,10.633378,-0.13132026795480337,0.04729983517221664,-2.7763366928589073,0.005497524502787726,0.03461230895308733,3
TSN,1.4826552,-0.053785889750312586,0.09507297017310526,-0.5657327172211122,0.5715754907826633,0.7333023537854604,2
IQCG,1.78074,0.03536901435131648,0.08701808138504252,0.4064559202910217,0.6844076387605806,0.8157184066623199,3
LRP1,6.0988407,-0.037344631694018846,0.06332960663418169,-0.5896867780931764,0.5554006611431421,0.7229719978128453,12
SGCZ,0.4498995,0.3625278830647563,0.28491612699134605,1.2724021166964958,0.20323028239769392,,8
ZNF398,2.1908922,-0.19010291317490602,0.07234646024738302,-2.627674008166593,0.00859708594552982,0.047054438852353754,7
SLC43A2,0.73703015,0.01345760903802954,0.1469604997557476,0.09157296729663043,0.9270373301563269,,17
ATP11A,5.0809884,-0.1404416629604089,0.061148423610340466,-2.2967339903208823,0.021633949181457807,0.0912998541563082,13
CRLF1,0.99735576,-0.18777801222115775,0.12940606451668515,-1.4510758280339044,0.14675874652890705,,19
NNT-AS1,1.9431705,-0.2599168465521293,0.09450652855643835,-2.7502528187447877,0.005954930022072441,0.03662281963574551,5
IWS1,4.6848397,-0.16459682964067957,0.05613454698488611,-2.932184162544258,0.00336587087001565,0.024669681945455987,2
MYH14,2.1464524,0.09051449208977061,0.09439279216260431,0.958913175635775,0.33760248667673587,0.5378899722958357,19
ARHGAP44,1.5072074,-0.5018232664196103,0.11946664095048216,-4.200530478023664,2.6629031644196326e-05,0.0006622992612977506,17
SRFBP1,2.6774483,-0.10853236451861006,0.06923397084382536,-1.5676172144370013,0.11697049221721825,0.2751748094726137,5
TCF7,1.8083664,0.07109564403976745,0.0794263561048333,0.8951140090819437,0.3707261459374347,0.5685700243180108,5
P4HA2,2.212347,0.0073171634596601145,0.07089500365646038,0.10321127134878608,0.9177952944456761,0.957127357318483,5
IER5L,1.1886742,0.09286974266953092,0.1171511858622446,0.7927341237393392,0.4279327445964799,,9
ZNF302,5.055621,-0.02083592071714732,0.04692155452897854,-0.4440586192488391,0.6570002033099132,0.7942470291979203,19
TLR3,0.21328346,0.4306541859539542,2.8985988816175334,0.14857322573506,0.8818904012562476,,4
MAP3K12,1.0119842,0.09218947129752793,0.10103958228911,0.912409465765023,0.3615532084445545,,12
PACSIN3,0.76311064,0.1801886192175907,0.16301532276517455,1.105347743764888,0.2690089375258494,,11
ZNF783,1.2896332,0.08662115174235926,0.10712464548304342,0.8086015253704656,0.4187443871096965,0.6119533510042708,7
KCNJ13,0.20579685,0.5490527112569757,2.899222243849694,0.18937931109686967,0.8497955384168583,,2
TRAF5,1.1746632,0.06783095934400689,0.10693055398978954,0.6343459078168047,0.5258551025650815,,1
ZDHHC17,6.3118424,-0.07841522556124654,0.04669097979947847,-1.6794512751287867,0.09306412734849957,0.23726073169303938,12
UBOX5,1.1347758,-0.023124517370445026,0.11214032246158832,-0.20621054820281903,0.8366264486420989,,20
METTL22,1.0673708,0.14467542256590168,0.1300899337257879,1.1121185046558486,0.26608720144703,,16
MAPRE2,14.421112,0.05297074998782345,0.04303349539631281,1.2309190666478393,0.21835313570048553,0.4088455474712938,18
OXCT1,3.3845904,-0.08028605624430947,0.07113922605509705,-1.1285764647218433,0.25907654361404264,0.4536465038259112,5
SFXN1,2.3807337,-0.12019073198317974,0.0714009143325759,-1.6833220289497615,0.09231276817033492,0.23592590731859303,5
UTY,12.951455,-0.11825112128116377,0.04187377017378452,-2.823990311605522,0.004742981856277059,0.03130368025142859,Y
ZNF444,1.2463424,0.07977223070376174,0.09541824730148889,0.8360269965105195,0.4031397157952562,0.5986040775581449,19
GAS7,35.681664,0.008444429297377471,0.030074213472466246,0.28078637218920366,0.7788742567263739,0.8770113759577097,17
ZNF570,0.39474985,0.1863946818484084,0.20229063275330694,0.9214202324223109,0.35683106958157795,,19
